z,mB,environment,rho_ratio
0.22825136672558624,20.886531314000017,mean,1.0
0.22997680207537718,21.075767204633774,mean,1.0
0.23195702737582655,21.814394110162144,cluster,5.0
0.23201837007438264,21.06860881668702,void,0.3
0.24233915547967294,21.226315953250285,mean,1.0
0.24321960627878278,21.121045473167015,mean,1.0
0.24647166102566517,20.695976674680306,void,0.3
0.24761180076844808,21.15339868978654,mean,1.0
0.26268354170714864,22.148726660370055,cluster,5.0
0.26682702272124337,20.961537140529636,void,0.3
0.27430829446016897,21.462766983051644,mean,1.0
0.27688047825806616,22.384523177131868,cluster,5.0
0.2795299724855462,22.162493021282664,cluster,5.0
0.2812428434249106,21.07426466174755,void,0.3
0.2822698169350307,22.33501964672086,cluster,5.0
0.2923264141211921,21.55695558929054,void,0.3
0.2927886773509556,21.439204332950098,void,0.3
0.2950786498936972,21.888624631297777,mean,1.0
0.2978042261715375,22.10534059457439,cluster,5.0
0.29804577309868546,21.85648331817935,mean,1.0
0.3003476756211095,21.842025685807474,mean,1.0
0.30665775268716117,22.336955081233405,cluster,5.0
0.3096209320321833,22.346366067460178,cluster,5.0
0.31695053698103515,21.592510929137227,mean,1.0
0.31794817810402015,21.474251614936435,void,0.3
0.3255908175412533,22.68245184765459,cluster,5.0
0.3329053478109361,22.022779733085336,mean,1.0
0.3415892924415676,21.991459872991904,void,0.3
0.34411911130461836,22.61949698754622,cluster,5.0
0.3443120665279831,22.689875815650755,cluster,5.0
0.34896018830918646,22.640254847290205,cluster,5.0
0.35098409003265846,21.763735451455076,void,0.3
0.35480422896738395,22.065353291451093,void,0.3
0.3565626768356699,22.10286737909076,void,0.3
0.3576521317569096,22.177069357483518,mean,1.0
0.3593742946747471,22.029458137586765,void,0.3
0.36039418156280695,21.87644309752168,mean,1.0
0.3680451886819559,21.832346860371274,void,0.3
0.3720482691218499,22.149440073352164,mean,1.0
0.3724903853163111,22.8613347953037,cluster,5.0
0.380068962841638,22.39587784682713,mean,1.0
0.38093618054639905,22.389661238176327,mean,1.0
0.38408361748082875,22.19854440682752,mean,1.0
0.3871371861359704,22.555079342420214,mean,1.0
0.38842413521651803,22.15328792702413,void,0.3
0.3917282773163656,22.02124594434557,void,0.3
0.39461148910469873,22.212216447581557,mean,1.0
0.396968153211829,22.928249805752145,cluster,5.0
0.39714309360828454,22.220819390220022,mean,1.0
0.3972256408095286,22.362747433432276,void,0.3
0.4037686495746525,22.270165273153506,mean,1.0
0.41176205397031723,22.141441702441316,void,0.3
0.4122142366533276,23.176040594731646,cluster,5.0
0.4134454513479538,22.42518929731833,mean,1.0
0.41586895774980764,22.32298563996542,mean,1.0
0.42555939378906643,22.45895350352109,void,0.3
0.4345364587653712,22.440854646687686,mean,1.0
0.4365742169676844,23.23320952194787,cluster,5.0
0.4377944699515086,23.047610055538623,cluster,5.0
0.4386268632794028,22.319972878307127,void,0.3
0.44271922683135984,22.70732110934284,mean,1.0
0.44597059351949314,22.52328702098714,void,0.3
0.44758180564072586,23.565910796133863,cluster,5.0
0.4476619279359113,22.853346132282603,void,0.3
0.4504888533039788,22.49261445838003,mean,1.0
0.45570274142836137,22.453468666349522,void,0.3
0.45694371364153336,22.755368405957555,mean,1.0
0.468266297036291,23.502906120111643,cluster,5.0
0.4702150620976395,23.020326748387994,mean,1.0
0.4725259747304836,22.54143332203901,void,0.3
0.4777862923534449,22.487638580357274,void,0.3
0.49835567841239936,22.811281380904145,void,0.3
0.5067190937470469,22.83894796832142,void,0.3
0.518258268465245,23.214748213186727,mean,1.0
0.518773811846674,23.02242037373142,mean,1.0
0.5195391364976041,22.79919608189677,void,0.3
0.5240145721841177,22.672989277902918,void,0.3
0.5337814675501256,22.8199170575515,void,0.3
0.5527232812182727,24.27548586121387,cluster,5.0
0.5640616415776276,22.819289202461203,void,0.3
0.5719357609427197,24.1129956009885,cluster,5.0
0.5924487847302999,23.795885036669983,cluster,5.0
0.596096055644448,23.352582543065953,mean,1.0
0.5976167596736249,23.913156757994656,cluster,5.0
0.5992605230324115,23.503535450400516,mean,1.0
0.6017257220119386,23.227029185992894,void,0.3
0.6068043906777675,23.924216094027294,cluster,5.0
0.6081381407951786,24.153267773381362,cluster,5.0
0.6081880376423452,23.323199068928865,mean,1.0
0.6151991224859963,24.009603500335135,cluster,5.0
0.6177892900673032,23.678459988017718,void,0.3
0.618497454644516,24.00657524892517,cluster,5.0
0.6193907393761443,23.196334030144865,void,0.3
0.6219389817121977,23.376952250587717,mean,1.0
0.6268122863128467,23.39916527275827,void,0.3
0.6273608398746057,23.389694655571663,void,0.3
0.6288809452015949,23.671845789446404,void,0.3
0.6314694794652171,23.3492914841478,mean,1.0
0.632052066964573,24.153470968687444,cluster,5.0
0.634460153642363,23.063779445473784,void,0.3
0.6402841882436477,24.13316665153253,cluster,5.0
0.6475718740489625,23.735466938815325,mean,1.0
0.6518172678796244,23.61095891290571,mean,1.0
0.6557471153020161,23.305542946912926,void,0.3
0.6558083389583157,23.6104379172706,void,0.3
0.6605852324185028,23.307410764135902,void,0.3
0.6629932093462375,23.581728942661687,mean,1.0
0.6706889658033601,23.808287942135816,void,0.3
0.6725935023254367,23.981064689961034,mean,1.0
0.6779198651077005,23.716967250279495,mean,1.0
0.6862872379692112,23.503029275694782,void,0.3
0.6883727924063443,23.70611068161177,mean,1.0
0.6965156227053673,24.3421236165036,cluster,5.0
0.698153367785447,24.07496667531321,mean,1.0
0.7130915800771228,23.72671259220964,void,0.3
0.7131626023940077,24.63791285636898,cluster,5.0
0.7149733369458305,23.647166068297018,mean,1.0
0.7215009747851913,23.761663914318373,void,0.3
0.7224035961944736,23.760220873103602,mean,1.0
0.7253268639744185,23.821244239290383,mean,1.0
0.731650580994912,23.97891263798449,mean,1.0
0.7329783737627116,23.683482472781723,void,0.3
0.7353815574360772,24.624960379225566,cluster,5.0
0.7381049447196315,24.21922115271117,mean,1.0
0.741858599772012,23.98027768097352,mean,1.0
0.7512396662246102,23.716960353166098,void,0.3
0.751724770924794,24.02806729174488,mean,1.0
0.7610549649367429,24.669144438181053,cluster,5.0
0.7624439384063596,24.07790633893318,mean,1.0
0.7633907341551889,23.89853444474447,void,0.3
0.763750470247404,23.78244834116949,mean,1.0
0.7639003558054647,24.07999715438528,mean,1.0
0.7673283894038987,24.554143150660273,cluster,5.0
0.7686933909127036,23.75592824708807,void,0.3
0.7740176589236024,24.48452066059998,mean,1.0
0.7777556205872453,24.119669007866715,mean,1.0
0.7781120321295297,23.950367529730187,mean,1.0
0.7830631498661854,24.614457024117637,cluster,5.0
0.7834570776255405,24.520341884544802,cluster,5.0
0.7858338988080946,24.636305908032863,cluster,5.0
0.7925593418374086,23.950274552242377,mean,1.0
0.795381014780673,24.510015632866676,cluster,5.0
0.7984015183812385,23.973501016146976,mean,1.0
0.7995671052385864,24.635172990800637,cluster,5.0
0.8098413014129955,24.164620822155058,void,0.3
0.816301590592316,24.32696556163626,void,0.3
0.8242373015494667,24.277222704536268,mean,1.0
0.8322159083419345,23.88644157320851,void,0.3
0.8333552852543049,24.310859893273218,mean,1.0
0.8382754580432178,24.14547356754137,void,0.3
0.8394487317843689,24.209943358305402,void,0.3
0.845340583936667,24.394148555140156,mean,1.0
0.8459560599446599,24.07832339979391,mean,1.0
0.8465925610852616,24.786390814211973,cluster,5.0
0.8511602391786643,24.240309941938897,void,0.3
0.8526063675772941,24.238053968088945,void,0.3
0.8574932734035676,23.823818824970182,void,0.3
0.8587612967953641,24.25532757958786,mean,1.0
0.8697180171611913,24.991171133902558,cluster,5.0
0.8738872578555849,24.698728534967387,mean,1.0
0.8765774548481129,24.112390104005478,void,0.3
0.8775185299687749,24.14847955082401,void,0.3
0.8782313522222962,24.41168575148105,void,0.3
0.881072790755572,24.4271569304957,mean,1.0
0.8915146551275033,24.466079601140656,mean,1.0
0.8983247720904487,24.693434154734607,cluster,5.0
0.9091058548662279,24.691510036573614,void,0.3
0.9153342078541079,24.485320046437018,void,0.3
0.9163273422411738,24.539503207433416,mean,1.0
0.9262923281873469,24.438216703334138,mean,1.0
0.9274509441459275,24.490186333030053,void,0.3
0.9278117125562754,25.18004693057515,cluster,5.0
0.9289712754630223,24.324479676866172,void,0.3
0.9324080597997263,25.023407309686014,cluster,5.0
0.9380518995705723,24.94541960968557,cluster,5.0
0.9443593940576861,24.796196311479473,mean,1.0
0.9558254512145615,24.974506734053538,cluster,5.0
0.9569932766289602,24.26442475382244,void,0.3
0.9599712629704624,24.557643954999087,void,0.3
0.9646144070973072,25.26197750178218,cluster,5.0
0.9663697715099462,24.549109436401924,void,0.3
0.9708537846452344,24.82655283756378,mean,1.0
0.9716632516816561,24.55315497648435,mean,1.0
0.9719928442585887,24.694384417452053,void,0.3
0.9731397750194312,24.73405327684709,mean,1.0
0.9740349396682251,24.683281743402965,mean,1.0
0.9803990998612526,24.735487534592068,mean,1.0
0.9824944182394468,24.541024554596156,void,0.3
0.9834375714477668,24.787315300030468,mean,1.0
0.9888946671849933,24.637085882282413,void,0.3
0.9961976358907959,24.846119036012304,mean,1.0
1.0006067425525018,24.733257235823647,void,0.3
1.004009969751193,24.683961798773186,void,0.3
1.0205758584880718,24.639237953085228,void,0.3
1.0228526391050596,24.64947815074662,mean,1.0
1.0250812520061585,24.636090381708208,mean,1.0
1.0342693940750487,25.29084585422971,cluster,5.0
1.0370930767919562,24.640917504436153,void,0.3
1.0407496134721728,24.753572175913334,void,0.3
1.0418160591103234,24.753838346717156,void,0.3
1.0470381023233841,24.85128335495316,mean,1.0
1.0540338305233674,24.932810762849673,mean,1.0
1.0540739555942669,24.72840584388699,void,0.3
1.0656328448754895,25.386864809747177,cluster,5.0
1.0657831636658286,25.030921334064644,mean,1.0
1.0691063567629038,25.114147990790627,mean,1.0
1.0715354006607647,24.749046851472272,void,0.3
1.0721452082030736,25.01640301759495,mean,1.0
1.074844547008902,24.706530506040586,void,0.3
1.076348646908957,24.646156203983946,mean,1.0
1.0775612093435667,25.011994215424053,void,0.3
1.0776867519644588,24.94024006730849,mean,1.0
1.0792794843472242,25.45513854914455,cluster,5.0
1.0814974880243633,24.448415184851704,void,0.3
1.0900041039720507,24.933472292588515,void,0.3
1.0908364043003178,25.075594018539658,mean,1.0
1.0920912784737506,24.988102461092833,mean,1.0
1.0967562575422007,25.080189129066362,mean,1.0
1.0986886243623337,24.944857245050212,void,0.3
1.107030339677509,24.928344295139034,mean,1.0
1.1103854057514897,25.184555184578144,mean,1.0
1.1146990894793931,24.907641474840457,void,0.3
1.116340206287662,25.236809345199607,cluster,5.0
1.1240241812513294,24.989741426325292,void,0.3
1.124708686596714,25.537364482689533,cluster,5.0
1.128003740461385,25.014321947732395,mean,1.0
1.129145715379968,25.659804756790578,cluster,5.0
1.1320625476558979,25.102067104195275,void,0.3
1.1391737893314666,24.832357363710585,void,0.3
1.1413500246278,25.01570866644243,mean,1.0
1.145175006633079,25.09715582944602,mean,1.0
1.1553122809811123,25.188574899749362,void,0.3
1.156707772736211,25.06473653953227,mean,1.0
1.1591021193587256,25.294944391808873,void,0.3
1.1603192346619668,25.33607706250347,mean,1.0
1.1638057070398247,25.08915374862464,mean,1.0
1.1641927240727732,25.0206758668779,void,0.3
1.1664206784379432,25.109083430659282,void,0.3
1.1678825601554101,25.304353786406104,mean,1.0
1.1829240403916148,24.83053206824744,void,0.3
1.1843954545546156,25.186319194182722,void,0.3
1.1881640816240733,25.274886218402457,void,0.3
