# WALLABY DR2 Rotation Curves (SPARC-compatible format)
# Generated for TMT calibration
#
# Columns: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
WALLABY_J000013        87.7     0.50    44.11   7.95     6.11    14.05     0.18
WALLABY_J000013        87.7     0.60    39.66   6.01     6.66    15.33     0.12
WALLABY_J000013        87.7     0.70    29.32   7.82     7.10    16.33     0.08
WALLABY_J000013        87.7     0.80    39.84   9.03     7.44    17.12     0.05
WALLABY_J000013        87.7     0.90    44.68   5.77     7.73    17.77     0.04
WALLABY_J000013        87.7     1.00    51.87   8.04     7.96    18.31     0.02
WALLABY_J000013        87.7     1.10    50.45  10.60     8.15    18.76     0.02
WALLABY_J000013        87.7     1.20    26.60   8.56     8.32    19.14     0.01
WALLABY_J000013        87.7     1.30    33.00   5.43     8.46    19.47     0.01
WALLABY_J000013        87.7     1.41    32.13   7.68     8.59    19.75     0.00
WALLABY_J000013        87.7     1.51    46.89   4.41     8.69    20.00     0.00
WALLABY_J000013        87.7     1.61    42.57   4.70     8.79    20.22     0.00
WALLABY_J000013        87.7     1.71    66.63  10.00     8.87    20.41     0.00
WALLABY_J000013        87.7     1.81    50.30   7.83     8.95    20.58     0.00
WALLABY_J000013        87.7     1.91    41.21  10.09     9.02    20.74     0.00
WALLABY_J000013        87.7     2.01    36.67   7.86     9.08    20.88     0.00
WALLABY_J000013        87.7     2.11    42.47   5.92     9.13    21.01     0.00
WALLABY_J000013        87.7     2.21    46.22   7.10     9.18    21.13     0.00
WALLABY_J000013        87.7     2.31    49.39   7.55     9.23    21.23     0.00
WALLABY_J000013        87.7     2.41    36.94  11.44     9.27    21.33     0.00
WALLABY_J000013        87.7     2.51    58.70   8.42     9.31    21.42     0.00
WALLABY_J000013        87.7     2.61    40.00   5.53     9.35    21.50     0.00
WALLABY_J000013        87.7     2.71    48.09   6.63     9.38    21.58     0.00
WALLABY_J000013        87.7     2.81    42.93   7.96     9.41    21.65     0.00
WALLABY_J000013        87.7     2.91    38.54   4.84     9.44    21.72     0.00
WALLABY_J000013        87.7     3.01    26.55   6.98     9.47    21.78     0.00
WALLABY_J000013        87.7     3.12    32.07   6.60     9.49    21.84     0.00
WALLABY_J000014         7.5     0.50    34.49   6.01     5.17    10.73     0.16
WALLABY_J000014         7.5     0.60    34.02   8.06     5.66    11.74     0.12
WALLABY_J000014         7.5     0.70    32.60   3.63     6.05    12.55     0.08
WALLABY_J000014         7.5     0.79    38.36   7.53     6.37    13.20     0.06
WALLABY_J000014         7.5     0.89    28.75   7.87     6.62    13.74     0.04
WALLABY_J000014         7.5     0.99    41.19   7.98     6.84    14.19     0.03
WALLABY_J000014         7.5     1.09    21.98   8.69     7.02    14.57     0.02
WALLABY_J000014         7.5     1.19    31.15   4.30     7.18    14.89     0.01
WALLABY_J000014         7.5     1.28    34.90   7.70     7.31    15.16     0.01
WALLABY_J000014         7.5     1.38    12.97  10.15     7.43    15.40     0.01
WALLABY_J000014         7.5     1.48    27.70   9.42     7.53    15.62     0.00
WALLABY_J000014         7.5     1.58    39.86  10.41     7.62    15.80     0.00
WALLABY_J000014         7.5     1.67    29.41   7.10     7.70    15.97     0.00
WALLABY_J000014         7.5     1.77    22.54   5.44     7.77    16.12     0.00
WALLABY_J000014         7.5     1.87    30.68   2.00     7.83    16.25     0.00
WALLABY_J000014         7.5     1.97    26.89   4.14     7.89    16.37     0.00
WALLABY_J000014         7.5     2.07    35.21   5.57     7.95    16.48     0.00
WALLABY_J000014         7.5     2.16    33.15   5.93     7.99    16.58     0.00
WALLABY_J000014         7.5     2.26    24.58   5.04     8.04    16.68     0.00
WALLABY_J000017        20.1     0.50   101.64   7.33    14.36    14.43     0.89
WALLABY_J000017        20.1     0.86   110.01   6.65    21.80    21.91     0.71
WALLABY_J000017        20.1     1.22   106.32   9.37    26.90    27.03     0.46
WALLABY_J000017        20.1     1.59   103.78   9.08    30.42    30.57     0.27
WALLABY_J000017        20.1     1.95    90.72   9.34    32.93    33.09     0.16
WALLABY_J000017        20.1     2.31   112.98   9.35    34.78    34.95     0.09
WALLABY_J000017        20.1     2.67   115.89  12.73    36.20    36.37     0.05
WALLABY_J000017        20.1     3.03    81.56   9.64    37.31    37.49     0.03
WALLABY_J000017        20.1     3.40   110.08  12.20    38.20    38.38     0.01
WALLABY_J000017        20.1     3.76    96.08  10.71    38.93    39.12     0.01
WALLABY_J000017        20.1     4.12   101.11   8.11    39.54    39.73     0.00
WALLABY_J000017        20.1     4.48    90.61   9.95    40.05    40.25     0.00
WALLABY_J000017        20.1     4.84   100.32  13.03    40.50    40.69     0.00
WALLABY_J000017        20.1     5.21    85.58  11.97    40.88    41.08     0.00
WALLABY_J000017        20.1     5.57    88.83  12.34    41.21    41.41     0.00
WALLABY_J000017        20.1     5.93   104.42  10.95    41.51    41.71     0.00
WALLABY_J000017        20.1     6.29    91.95   8.98    41.77    41.97     0.00
WALLABY_J000017        20.1     6.65   104.42  13.22    42.00    42.20     0.00
WALLABY_J000017        20.1     7.02    99.96  11.06    42.21    42.42     0.00
WALLABY_J000017        20.1     7.38   126.85  11.80    42.40    42.61     0.00
WALLABY_J000017        20.1     7.74    92.18  10.15    42.57    42.78     0.00
WALLABY_J000017        20.1     8.10    96.10   7.87    42.73    42.94     0.00
WALLABY_J000018        33.7     0.50    50.74   7.70     8.77    12.93     0.35
WALLABY_J000018        33.7     0.64    44.88   7.17    10.19    15.04     0.26
WALLABY_J000018        33.7     0.78    63.50   9.03    11.29    16.66     0.18
WALLABY_J000018        33.7     0.92    50.21   5.75    12.15    17.92     0.13
WALLABY_J000018        33.7     1.06    52.21   4.80    12.83    18.93     0.09
WALLABY_J000018        33.7     1.20    53.89   8.06    13.38    19.74     0.06
WALLABY_J000018        33.7     1.35    52.77   7.81    13.83    20.41     0.04
WALLABY_J000018        33.7     1.49    50.07   6.02    14.21    20.96     0.02
WALLABY_J000018        33.7     1.63    57.98   8.20    14.53    21.43     0.02
WALLABY_J000018        33.7     1.77    63.31  11.19    14.80    21.83     0.01
WALLABY_J000018        33.7     1.91    32.48   8.38    15.03    22.18     0.01
WALLABY_J000018        33.7     2.05    44.72   3.52    15.24    22.48     0.00
WALLABY_J000018        33.7     2.19    44.18  10.32    15.42    22.75     0.00
WALLABY_J000018        33.7     2.33    36.99  11.47    15.58    22.98     0.00
WALLABY_J000018        33.7     2.47    43.50   8.55    15.72    23.19     0.00
WALLABY_J000018        33.7     2.61    46.24   7.83    15.85    23.38     0.00
WALLABY_J000018        33.7     2.75    48.66   4.39    15.96    23.55     0.00
WALLABY_J000018        33.7     2.89    41.20   5.76    16.06    23.70     0.00
WALLABY_J000018        33.7     3.04    46.94   6.88    16.16    23.84     0.00
WALLABY_J000018        33.7     3.18    58.35   6.02    16.25    23.97     0.00
WALLABY_J000018        33.7     3.32    48.16   6.47    16.33    24.09     0.00
WALLABY_J000019       118.0     0.50    33.65   6.39     5.81    13.66     0.16
WALLABY_J000019       118.0     0.58    35.39   5.99     6.25    14.71     0.12
WALLABY_J000019       118.0     0.67    34.49   9.35     6.61    15.55     0.09
WALLABY_J000019       118.0     0.75    46.47   7.76     6.90    16.25     0.06
WALLABY_J000019       118.0     0.84    35.69  11.87     7.15    16.83     0.04
WALLABY_J000019       118.0     0.92    28.11   8.00     7.36    17.32     0.03
WALLABY_J000019       118.0     1.00    50.22   8.04     7.54    17.74     0.02
WALLABY_J000019       118.0     1.09    40.68   7.48     7.69    18.10     0.01
WALLABY_J000019       118.0     1.17    41.40   6.40     7.82    18.41     0.01
WALLABY_J000019       118.0     1.25    42.38   5.64     7.94    18.69     0.01
WALLABY_J000019       118.0     1.34    30.75   6.47     8.05    18.93     0.00
WALLABY_J000019       118.0     1.42    38.67   6.56     8.14    19.15     0.00
WALLABY_J000019       118.0     1.51    44.25   6.75     8.22    19.35     0.00
WALLABY_J000019       118.0     1.59    33.46   8.21     8.29    19.52     0.00
WALLABY_J000019       118.0     1.67    41.02   7.54     8.36    19.68     0.00
WALLABY_J000019       118.0     1.76    41.92   5.90     8.42    19.82     0.00
WALLABY_J000019       118.0     1.84    30.74   5.46     8.48    19.95     0.00
WALLABY_J000019       118.0     1.93    31.09   7.38     8.53    20.07     0.00
WALLABY_J000019       118.0     2.01    27.10   5.08     8.58    20.18     0.00
WALLABY_J000019       118.0     2.09    40.09   6.08     8.62    20.29     0.00
WALLABY_J000019       118.0     2.18    49.78   5.87     8.66    20.38     0.00
WALLABY_J000019       118.0     2.26    30.55  11.79     8.70    20.47     0.00
WALLABY_J000019       118.0     2.34    37.87   4.39     8.73    20.55     0.00
WALLABY_J000021        22.4     0.50    81.24  11.51    13.90    14.29     0.82
WALLABY_J000021        22.4     0.85    79.77  10.05    20.73    21.31     0.63
WALLABY_J000021        22.4     1.21    85.64   6.73    25.34    26.04     0.39
WALLABY_J000021        22.4     1.56    88.35   9.51    28.48    29.27     0.23
WALLABY_J000021        22.4     1.92    92.51  10.00    30.71    31.56     0.12
WALLABY_J000021        22.4     2.27    81.82  13.12    32.35    33.25     0.07
WALLABY_J000021        22.4     2.62    82.45   7.73    33.60    34.53     0.04
WALLABY_J000021        22.4     2.98    95.90  10.51    34.58    35.54     0.02
WALLABY_J000021        22.4     3.33   104.67   7.13    35.36    36.34     0.01
WALLABY_J000021        22.4     3.69    86.55  12.68    36.01    37.01     0.01
WALLABY_J000021        22.4     4.04   102.54  12.04    36.54    37.56     0.00
WALLABY_J000021        22.4     4.39    91.82   7.19    37.00    38.02     0.00
WALLABY_J000021        22.4     4.75   100.14  13.07    37.39    38.42     0.00
WALLABY_J000021        22.4     5.10   101.38  11.74    37.72    38.77     0.00
WALLABY_J000021        22.4     5.46    91.87  12.12    38.02    39.07     0.00
WALLABY_J000021        22.4     5.81    79.29  12.73    38.28    39.34     0.00
WALLABY_J000021        22.4     6.16    77.24  11.84    38.51    39.58     0.00
WALLABY_J000021        22.4     6.52   102.06   8.92    38.71    39.79     0.00
WALLABY_J000021        22.4     6.87    99.75  12.60    38.90    39.98     0.00
WALLABY_J000021        22.4     7.23    99.45   7.80    39.06    40.15     0.00
WALLABY_J000021        22.4     7.58    97.24   8.04    39.22    40.30     0.00
WALLABY_J000021        22.4     7.93   101.11   8.68    39.35    40.45     0.00
WALLABY_J000021        22.4     8.29    94.08  10.26    39.48    40.58     0.00
WALLABY_J000024        13.9     0.50    62.23   7.52     9.65    11.26     0.47
WALLABY_J000024        13.9     0.65    64.13   8.12    11.63    13.57     0.40
WALLABY_J000024        13.9     0.80    60.68   7.19    13.23    15.44     0.32
WALLABY_J000024        13.9     0.95    55.53  10.63    14.52    16.95     0.24
WALLABY_J000024        13.9     1.10    57.47   5.71    15.57    18.17     0.18
WALLABY_J000024        13.9     1.25    66.35  10.78    16.44    19.18     0.13
WALLABY_J000024        13.9     1.40    64.69   8.63    17.15    20.02     0.10
WALLABY_J000024        13.9     1.55    32.25   9.08    17.76    20.72     0.07
WALLABY_J000024        13.9     1.70    54.72   7.18    18.27    21.32     0.05
WALLABY_J000024        13.9     1.85    55.50   5.22    18.71    21.84     0.04
WALLABY_J000024        13.9     2.00    63.16   9.69    19.10    22.28     0.03
WALLABY_J000024        13.9     2.15    56.11   8.46    19.43    22.67     0.02
WALLABY_J000024        13.9     2.30    64.27  10.56    19.73    23.02     0.01
WALLABY_J000024        13.9     2.46    48.64   7.45    19.99    23.32     0.01
WALLABY_J000024        13.9     2.61    58.49   7.00    20.22    23.60     0.01
WALLABY_J000024        13.9     2.76    66.22  10.61    20.43    23.84     0.00
WALLABY_J000024        13.9     2.91    39.49  11.66    20.62    24.06     0.00
WALLABY_J000024        13.9     3.06    76.41   7.85    20.79    24.26     0.00
WALLABY_J000024        13.9     3.21    64.21   6.33    20.95    24.44     0.00
WALLABY_J000024        13.9     3.36    56.69   9.45    21.09    24.61     0.00
WALLABY_J000024        13.9     3.51    50.60   7.33    21.22    24.76     0.00
WALLABY_J000024        13.9     3.66    55.09   9.03    21.34    24.91     0.00
WALLABY_J000024        13.9     3.81    57.29   7.32    21.46    25.04     0.00
WALLABY_J000024        13.9     3.96    61.50  10.96    21.56    25.16     0.00
WALLABY_J000024        13.9     4.11    66.33   6.43    21.65    25.27     0.00
WALLABY_J000024        13.9     4.26    52.49   8.79    21.74    25.37     0.00
WALLABY_J000024        13.9     4.41    60.53   6.86    21.83    25.47     0.00
WALLABY_J000024        13.9     4.56    47.28   7.27    21.91    25.56     0.00
WALLABY_J000024        13.9     4.71    53.77   7.01    21.98    25.65     0.00
WALLABY_J000028        62.4     0.50    70.20   7.46    11.05    12.48     0.56
WALLABY_J000028        62.4     0.89    68.66   7.26    16.27    18.37     0.34
WALLABY_J000028        62.4     1.28    54.39   6.39    19.37    21.87     0.17
WALLABY_J000028        62.4     1.67    54.63   7.24    21.31    24.07     0.07
WALLABY_J000028        62.4     2.07    73.83  10.73    22.63    25.55     0.03
WALLABY_J000028        62.4     2.46    62.61   9.47    23.56    26.61     0.01
WALLABY_J000028        62.4     2.85    88.30   9.96    24.25    27.39     0.01
WALLABY_J000028        62.4     3.24    79.85  10.23    24.79    28.00     0.00
WALLABY_J000028        62.4     3.63    50.03  12.71    25.22    28.48     0.00
WALLABY_J000028        62.4     4.02    74.72   8.36    25.56    28.87     0.00
WALLABY_J000028        62.4     4.41    78.06   7.45    25.85    29.19     0.00
WALLABY_J000028        62.4     4.81    62.05   9.18    26.09    29.46     0.00
WALLABY_J000028        62.4     5.20    65.31   9.60    26.30    29.70     0.00
WALLABY_J000028        62.4     5.59    61.62   8.24    26.47    29.90     0.00
WALLABY_J000028        62.4     5.98    58.82   6.52    26.63    30.07     0.00
WALLABY_J000028        62.4     6.37    79.83   8.68    26.76    30.22     0.00
WALLABY_J000035        11.8     0.50    51.11   7.49     8.21    14.08     0.29
WALLABY_J000035        11.8     0.65    28.69   7.17     9.51    16.30     0.19
WALLABY_J000035        11.8     0.81    46.26   5.81    10.46    17.93     0.12
WALLABY_J000035        11.8     0.96    52.38   6.93    11.17    19.15     0.07
WALLABY_J000035        11.8     1.11    48.99   4.04    11.72    20.09     0.05
WALLABY_J000035        11.8     1.27    54.64   8.44    12.15    20.84     0.03
WALLABY_J000035        11.8     1.42    42.09   9.92    12.50    21.44     0.02
WALLABY_J000035        11.8     1.58    19.96   9.94    12.79    21.93     0.01
WALLABY_J000035        11.8     1.73    54.61   6.00    13.03    22.34     0.01
WALLABY_J000035        11.8     1.88    50.16   2.81    13.23    22.69     0.00
WALLABY_J000035        11.8     2.04    60.70   8.08    13.40    22.99     0.00
WALLABY_J000035        11.8     2.19    48.77  10.04    13.55    23.25     0.00
WALLABY_J000035        11.8     2.34    49.77   4.19    13.69    23.47     0.00
WALLABY_J000035        11.8     2.50    63.52   6.65    13.80    23.67     0.00
WALLABY_J000035        11.8     2.65    33.00   8.12    13.91    23.85     0.00
WALLABY_J000035        11.8     2.80    50.57   5.72    14.00    24.01     0.00
WALLABY_J000035        11.8     2.96    52.83   3.94    14.08    24.15     0.00
WALLABY_J000035        11.8     3.11    49.28   5.91    14.16    24.28     0.00
WALLABY_J000035        11.8     3.27    48.44   6.26    14.22    24.40     0.00
WALLABY_J000035        11.8     3.42    42.64   3.63    14.29    24.50     0.00
WALLABY_J000035        11.8     3.57    62.03   9.54    14.34    24.60     0.00
WALLABY_J000035        11.8     3.73    59.26  10.51    14.39    24.69     0.00
WALLABY_J000035        11.8     3.88    57.59   7.46    14.44    24.77     0.00
WALLABY_J000035        11.8     4.03    47.83   8.86    14.49    24.85     0.00
WALLABY_J000035        11.8     4.19    46.60   4.44    14.53    24.92     0.00
WALLABY_J000035        11.8     4.34    47.98   7.12    14.57    24.98     0.00
WALLABY_J000035        11.8     4.49    58.63   6.24    14.60    25.05     0.00
WALLABY_J000044        64.6     0.50    41.28   6.89     7.47    12.72     0.27
WALLABY_J000044        64.6     0.70    48.13   5.47     8.96    15.25     0.15
WALLABY_J000044        64.6     0.90    46.53   3.03     9.95    16.94     0.08
WALLABY_J000044        64.6     1.10    27.06   8.33    10.65    18.13     0.04
WALLABY_J000044        64.6     1.30    32.38   8.72    11.16    19.01     0.02
WALLABY_J000044        64.6     1.51    49.47   4.88    11.55    19.67     0.01
WALLABY_J000044        64.6     1.71    48.44  10.13    11.86    20.19     0.01
WALLABY_J000044        64.6     1.91    44.42   4.42    12.10    20.60     0.00
WALLABY_J000044        64.6     2.11    35.15   8.60    12.30    20.94     0.00
WALLABY_J000044        64.6     2.31    47.44   8.70    12.47    21.23     0.00
WALLABY_J000044        64.6     2.51    54.99   9.33    12.61    21.47     0.00
WALLABY_J000044        64.6     2.71    51.13   3.24    12.73    21.67     0.00
WALLABY_J000044        64.6     2.91    40.32   9.31    12.83    21.85     0.00
WALLABY_J000044        64.6     3.11    49.67   6.89    12.93    22.01     0.00
WALLABY_J000045        38.0     0.50    34.12   8.98     8.93    12.99     0.36
WALLABY_J000045        38.0     0.67    48.52   6.59    10.70    15.56     0.25
WALLABY_J000045        38.0     0.85    44.58  11.33    11.99    17.43     0.16
WALLABY_J000045        38.0     1.02    59.12   4.66    12.95    18.82     0.10
WALLABY_J000045        38.0     1.20    48.20   6.98    13.68    19.89     0.06
WALLABY_J000045        38.0     1.37    53.91   8.02    14.25    20.72     0.04
WALLABY_J000045        38.0     1.55    60.38   6.69    14.71    21.39     0.02
WALLABY_J000045        38.0     1.72    44.12   3.15    15.09    21.94     0.01
WALLABY_J000045        38.0     1.90    53.38  11.54    15.40    22.39     0.01
WALLABY_J000045        38.0     2.07    41.48   9.20    15.66    22.78     0.00
WALLABY_J000045        38.0     2.25    45.57   5.23    15.89    23.10     0.00
WALLABY_J000045        38.0     2.42    46.51   5.52    16.08    23.39     0.00
WALLABY_J000045        38.0     2.60    48.80   4.80    16.25    23.63     0.00
WALLABY_J000045        38.0     2.77    43.76   7.45    16.40    23.85     0.00
WALLABY_J000045        38.0     2.94    47.34  10.68    16.53    24.04     0.00
WALLABY_J000045        38.0     3.12    58.32   7.16    16.65    24.21     0.00
WALLABY_J000045        38.0     3.29    54.67   6.82    16.75    24.36     0.00
WALLABY_J000045        38.0     3.47    77.94   9.67    16.85    24.50     0.00
WALLABY_J000045        38.0     3.64    53.07   8.38    16.94    24.62     0.00
WALLABY_J000045        38.0     3.82    56.01   7.62    17.01    24.74     0.00
WALLABY_J000045        38.0     3.99    63.17   9.21    17.09    24.84     0.00
WALLABY_J000045        38.0     4.17    46.11   4.21    17.15    24.94     0.00
WALLABY_J000045        38.0     4.34    62.26   8.69    17.21    25.02     0.00
WALLABY_J000045        38.0     4.52    41.59  10.31    17.27    25.11     0.00
WALLABY_J000045        38.0     4.69    53.44   5.27    17.32    25.18     0.00
WALLABY_J000045        38.0     4.87    57.77   7.00    17.37    25.25     0.00
WALLABY_J000051         5.9     0.50    80.34  11.08    12.18    13.39     0.65
WALLABY_J000051         5.9     0.72    65.47   6.22    15.88    17.46     0.52
WALLABY_J000051         5.9     0.94    57.97   9.72    18.66    20.51     0.38
WALLABY_J000051         5.9     1.16    77.16  11.59    20.76    22.82     0.26
WALLABY_J000051         5.9     1.38    82.94   9.74    22.37    24.60     0.17
WALLABY_J000051         5.9     1.60    73.60   9.68    23.63    25.98     0.11
WALLABY_J000051         5.9     1.82    89.26   7.78    24.64    27.09     0.07
WALLABY_J000051         5.9     2.04    64.46   9.16    25.46    27.99     0.05
WALLABY_J000051         5.9     2.26    60.85  11.19    26.14    28.74     0.03
WALLABY_J000051         5.9     2.48    68.14   9.37    26.71    29.36     0.02
WALLABY_J000051         5.9     2.70    70.00   6.22    27.19    29.90     0.01
WALLABY_J000051         5.9     2.92    78.48   7.81    27.61    30.35     0.01
WALLABY_J000051         5.9     3.14    69.67  11.14    27.97    30.75     0.00
WALLABY_J000051         5.9     3.36    59.87   9.37    28.29    31.10     0.00
WALLABY_J000051         5.9     3.58    82.36   8.96    28.57    31.41     0.00
WALLABY_J000051         5.9     3.80    60.98   7.61    28.82    31.68     0.00
WALLABY_J000051         5.9     4.02    62.49  11.10    29.04    31.92     0.00
WALLABY_J000051         5.9     4.24    54.83  12.04    29.24    32.14     0.00
WALLABY_J000051         5.9     4.46    76.70  11.24    29.42    32.34     0.00
WALLABY_J000051         5.9     4.68    76.53  11.60    29.58    32.52     0.00
WALLABY_J000051         5.9     4.90    89.71   8.00    29.73    32.69     0.00
WALLABY_J000051         5.9     5.12    81.42   7.72    29.87    32.84     0.00
WALLABY_J000051         5.9     5.34    86.49   8.41    30.00    32.98     0.00
WALLABY_J000051         5.9     5.56    76.91   8.80    30.11    33.11     0.00
WALLABY_J000051         5.9     5.78    63.06  11.58    30.22    33.23     0.00
WALLABY_J000051         5.9     6.00    75.79  11.05    30.32    33.34     0.00
WALLABY_J000054        41.2     0.50   144.37   9.35    14.23    13.17     1.15
WALLABY_J000054        41.2     0.90   121.05  12.36    23.80    22.03     1.21
WALLABY_J000054        41.2     1.30   135.03  12.35    31.31    28.98     1.01
WALLABY_J000054        41.2     1.70   146.54  12.85    37.04    34.28     0.75
WALLABY_J000054        41.2     2.10   134.67  11.19    41.40    38.33     0.53
WALLABY_J000054        41.2     2.50   137.54  12.76    44.77    41.45     0.36
WALLABY_J000054        41.2     2.90   146.26  11.50    47.43    43.90     0.24
WALLABY_J000054        41.2     3.30   149.37  10.84    49.55    45.87     0.16
WALLABY_J000054        41.2     3.70   124.34  14.72    51.29    47.48     0.10
WALLABY_J000054        41.2     4.10   146.00  12.05    52.73    48.81     0.07
WALLABY_J000054        41.2     4.50   142.93   8.87    53.94    49.93     0.04
WALLABY_J000054        41.2     4.90   127.49  10.55    54.97    50.88     0.03
WALLABY_J000054        41.2     5.30   131.91  14.80    55.85    51.70     0.02
WALLABY_J000054        41.2     5.70   139.43  10.08    56.62    52.42     0.01
WALLABY_J000054        41.2     6.10   155.96  12.98    57.30    53.04     0.01
WALLABY_J000054        41.2     6.49   133.57  10.51    57.89    53.59     0.00
WALLABY_J000054        41.2     6.89   141.69   9.02    58.42    54.08     0.00
WALLABY_J000054        41.2     7.29   152.95  12.86    58.89    54.52     0.00
WALLABY_J000054        41.2     7.69   158.77  11.24    59.32    54.92     0.00
WALLABY_J000054        41.2     8.09   141.34  15.07    59.71    55.27     0.00
WALLABY_J000054        41.2     8.49   107.94  14.15    60.06    55.60     0.00
WALLABY_J000054        41.2     8.89   151.25  14.43    60.38    55.89     0.00
WALLABY_J000054        41.2     9.29   140.88  14.03    60.67    56.16     0.00
WALLABY_J000056       143.7     0.50    51.92   9.21     7.74    10.63     0.32
WALLABY_J000056       143.7     0.81    36.50   9.81    10.30    14.16     0.17
WALLABY_J000056       143.7     1.13    56.99   9.27    11.83    16.26     0.08
WALLABY_J000056       143.7     1.44    41.57   9.26    12.80    17.60     0.03
WALLABY_J000056       143.7     1.76    29.45   7.01    13.47    18.51     0.01
WALLABY_J000056       143.7     2.07    40.79   7.74    13.95    19.17     0.01
WALLABY_J000056       143.7     2.39    47.84   7.00    14.31    19.67     0.00
