# APERTIF DR1 Rotation Curves (SPARC-compatible format)
# Generated for TMT calibration
#
# Columns: Galaxy  D(Mpc)  R(kpc)  Vobs  e_Vobs  Vgas  Vdisk  Vbul
#
APERTIF_J000048        25.4     1.95    99.73  11.57    35.73    28.55     0.20
APERTIF_J000048        25.4     2.47    94.27  13.14    39.16    31.29     0.10
APERTIF_J000048        25.4     2.99   125.89  10.23    41.59    33.24     0.05
APERTIF_J000048        25.4     3.51   127.12  12.89    43.40    34.68     0.02
APERTIF_J000048        25.4     4.03   107.93  10.19    44.78    35.79     0.01
APERTIF_J000048        25.4     4.54   137.88  10.58    45.87    36.66     0.01
APERTIF_J000048        25.4     5.06   118.32  10.60    46.75    37.36     0.00
APERTIF_J000048        25.4     5.58   118.69   9.99    47.47    37.94     0.00
APERTIF_J000048        25.4     6.10   113.34   9.80    48.08    38.42     0.00
APERTIF_J000049        95.3     0.40   163.19  11.02    10.83     8.44     0.76
APERTIF_J000049        95.3     1.00   142.96  11.93    24.80    19.34     0.91
APERTIF_J000049        95.3     1.60   150.46   9.86    35.10    27.36     0.68
APERTIF_J000049        95.3     2.19   139.89  12.99    42.31    32.99     0.43
APERTIF_J000049        95.3     2.79   175.44  15.79    47.42    36.97     0.25
APERTIF_J000049        95.3     3.39   167.46  15.79    51.14    39.87     0.14
APERTIF_J000049        95.3     3.99   169.65  14.25    53.94    42.05     0.08
APERTIF_J000049        95.3     4.59   181.56  18.17    56.10    43.74     0.04
APERTIF_J000049        95.3     5.18   157.92  17.60    57.82    45.08     0.02
APERTIF_J000049        95.3     5.78   133.05  13.54    59.21    46.16     0.01
APERTIF_J000049        95.3     6.38   134.39  13.48    60.36    47.06     0.01
APERTIF_J000049        95.3     6.98   138.54   9.28    61.33    47.81     0.00
APERTIF_J000049        95.3     7.58   140.64  15.82    62.15    48.45     0.00
APERTIF_J000049        95.3     8.17   155.75  16.08    62.85    49.00     0.00
APERTIF_J000049        95.3     8.77   150.77  10.52    63.46    49.48     0.00
APERTIF_J000049        95.3     9.37   166.24  13.55    64.00    49.90     0.00
APERTIF_J000049        95.3     9.97   164.33  16.25    64.47    50.27     0.00
APERTIF_J000055        29.6     0.40   106.80  10.47    11.27     9.07     0.66
APERTIF_J000055        29.6     0.61   119.82  13.26    16.46    13.24     0.68
APERTIF_J000055        29.6     0.83   134.78  10.29    20.90    16.81     0.62
APERTIF_J000055        29.6     1.04   110.50  11.94    24.62    19.80     0.52
APERTIF_J000055        29.6     1.25   120.21  10.23    27.70    22.28     0.42
APERTIF_J000055        29.6     1.46   111.47  10.10    30.26    24.33     0.32
APERTIF_J000055        29.6     1.68   111.66  13.12    32.39    26.05     0.25
APERTIF_J000055        29.6     1.89    94.44  14.77    34.18    27.49     0.19
APERTIF_J000055        29.6     2.10   112.47  11.91    35.69    28.71     0.14
APERTIF_J000055        29.6     2.31   107.78  11.66    36.99    29.75     0.10
APERTIF_J000055        29.6     2.53   107.18  12.63    38.10    30.65     0.07
APERTIF_J000055        29.6     2.74   111.00  12.79    39.08    31.43     0.05
APERTIF_J000055        29.6     2.95   132.14  18.00    39.93    32.11     0.04
APERTIF_J000055        29.6     3.16   101.60  10.60    40.67    32.71     0.03
APERTIF_J000055        29.6     3.38   125.12   9.81    41.34    33.25     0.02
APERTIF_J000055        29.6     3.59   120.79  13.48    41.93    33.73     0.02
APERTIF_J000055        29.6     3.80    88.56  13.38    42.47    34.16     0.01
APERTIF_J000055        29.6     4.02   109.42  14.44    42.95    34.54     0.01
APERTIF_J000055        29.6     4.23   115.09  11.19    43.38    34.89     0.01
APERTIF_J000055        29.6     4.44   114.83  13.50    43.78    35.21     0.00
APERTIF_J000055        29.6     4.65    72.16  13.49    44.14    35.50     0.00
APERTIF_J000055        29.6     4.87    99.06  16.27    44.47    35.77     0.00
APERTIF_J000055        29.6     5.08   123.19  14.12    44.78    36.02     0.00
APERTIF_J000055        29.6     5.29   100.52  16.64    45.06    36.24     0.00
APERTIF_J000057        65.9     0.40   134.05  13.48    10.57     8.26     0.73
APERTIF_J000057        65.9     0.93   120.15  12.81    22.65    17.70     0.86
APERTIF_J000057        65.9     1.46   144.34  16.32    31.78    24.83     0.66
APERTIF_J000057        65.9     1.99   162.02  17.58    38.35    29.97     0.44
APERTIF_J000057        65.9     2.51   125.94  14.19    43.11    33.68     0.27
APERTIF_J000057        65.9     3.04   142.14  20.01    46.63    36.43     0.16
APERTIF_J000057        65.9     3.57   137.00  10.05    49.30    38.52     0.09
APERTIF_J000057        65.9     4.10   136.54  14.34    51.39    40.15     0.05
APERTIF_J000057        65.9     4.63   143.99  17.51    53.05    41.45     0.03
APERTIF_J000057        65.9     5.16   121.36  14.73    54.41    42.51     0.02
APERTIF_J000057        65.9     5.69   141.83  12.00    55.54    43.39     0.01
APERTIF_J000057        65.9     6.21   148.77  14.18    56.48    44.13     0.01
APERTIF_J000057        65.9     6.74   163.00  12.91    57.29    44.76     0.00
APERTIF_J000057        65.9     7.27   126.29  14.77    57.99    45.31     0.00
APERTIF_J000058        34.1     0.40   114.10  14.31     9.61     7.50     0.68
APERTIF_J000058        34.1     1.55   123.94  12.08    30.53    23.80     0.62
APERTIF_J000058        34.1     2.70   123.95  12.80    41.45    32.31     0.24
APERTIF_J000058        34.1     3.85   150.01  16.21    47.32    36.89     0.08
APERTIF_J000058        34.1     4.99   119.21  15.44    50.84    39.64     0.02
APERTIF_J000058        34.1     6.14   147.53  16.80    53.16    41.45     0.01
APERTIF_J000058        34.1     7.29   141.07  11.76    54.79    42.72     0.00
APERTIF_J000058        34.1     8.44   146.26  11.87    56.00    43.66     0.00
APERTIF_J000058        34.1     9.59   138.90  13.71    56.92    44.38     0.00
APERTIF_J000058        34.1    10.74   122.77  15.10    57.66    44.95     0.00
APERTIF_J000058        34.1    11.89   146.85  12.60    58.25    45.42     0.00
APERTIF_J000058        34.1    13.04   148.10  13.82    58.75    45.80     0.00
APERTIF_J000062        26.9     0.40    83.62   8.43    11.76    10.16     0.55
APERTIF_J000062        26.9     0.74    69.56  16.40    18.98    16.39     0.42
APERTIF_J000062        26.9     1.08   101.36  13.35    23.79    20.55     0.25
APERTIF_J000062        26.9     1.42    76.36  14.43    27.02    23.34     0.13
APERTIF_J000062        26.9     1.75    79.95  14.29    29.28    25.29     0.07
APERTIF_J000062        26.9     2.09    89.27   8.61    30.91    26.70     0.03
APERTIF_J000062        26.9     2.43    85.05   7.46    32.15    27.77     0.02
APERTIF_J000062        26.9     2.77    63.90  11.48    33.11    28.60     0.01
APERTIF_J000062        26.9     3.11   100.62  10.98    33.88    29.26     0.00
APERTIF_J000062        26.9     3.45   102.13  11.05    34.50    29.80     0.00
APERTIF_J000062        26.9     3.79    89.49  13.84    35.02    30.25     0.00
APERTIF_J000062        26.9     4.12    98.23   9.28    35.45    30.62     0.00
APERTIF_J000062        26.9     4.46    76.65  14.46    35.83    30.95     0.00
APERTIF_J000062        26.9     4.80    92.52   8.44    36.15    31.22     0.00
APERTIF_J000062        26.9     5.14    85.84  12.10    36.43    31.47     0.00
APERTIF_J000062        26.9     5.48    84.04   8.74    36.68    31.68     0.00
APERTIF_J000062        26.9     5.82    96.15  13.44    36.89    31.87     0.00
APERTIF_J000077        10.4     0.40    75.41  10.93    11.14    13.63     0.33
APERTIF_J000077        10.4     0.75    66.70   9.57    15.93    19.51     0.12
APERTIF_J000077        10.4     1.11    60.22  10.83    18.35    22.47     0.03
APERTIF_J000077        10.4     1.46    55.21  11.93    19.74    24.17     0.01
APERTIF_J000077        10.4     1.81    58.99  12.45    20.63    25.26     0.00
APERTIF_J000077        10.4     2.17    57.48  11.05    21.25    26.01     0.00
APERTIF_J000077        10.4     2.52    85.62  12.37    21.70    26.56     0.00
APERTIF_J000077        10.4     2.87    53.94  13.39    22.04    26.98     0.00
APERTIF_J000077        10.4     3.23    64.61  15.30    22.31    27.31     0.00
APERTIF_J000084        18.6     0.40    84.81   9.03    11.60    14.30     0.34
APERTIF_J000084        18.6     0.78    62.60  12.95    16.79    20.70     0.11
APERTIF_J000084        18.6     1.15    72.55   5.95    19.30    23.79     0.03
APERTIF_J000084        18.6     1.53    64.86   9.93    20.72    25.54     0.01
APERTIF_J000084        18.6     1.91    69.00  14.57    21.61    26.64     0.00
APERTIF_J000084        18.6     2.28    81.27  15.55    22.22    27.39     0.00
APERTIF_J000084        18.6     2.66    81.23  14.57    22.67    27.94     0.00
APERTIF_J000084        18.6     3.04    60.43   8.89    23.01    28.36     0.00
APERTIF_J000084        18.6     3.42    83.38  14.28    23.27    28.68     0.00
APERTIF_J000084        18.6     3.79    75.51  11.60    23.48    28.95     0.00
APERTIF_J000084        18.6     4.17    70.15   4.34    23.66    29.16     0.00
APERTIF_J000089         6.8     0.40    91.20   9.54    13.34    12.44     0.55
APERTIF_J000089         6.8     0.56    77.56   7.98    17.31    16.13     0.46
APERTIF_J000089         6.8     0.72    91.44  12.14    20.45    19.06     0.35
APERTIF_J000089         6.8     0.88    99.10  11.36    22.92    21.37     0.26
APERTIF_J000089         6.8     1.05    87.16   9.11    24.89    23.20     0.18
APERTIF_J000089         6.8     1.21    80.96  13.73    26.47    24.68     0.13
APERTIF_J000089         6.8     1.37    94.38  12.20    27.76    25.88     0.09
APERTIF_J000089         6.8     1.53    78.27   9.81    28.83    26.87     0.06
APERTIF_J000089         6.8     1.69    89.60  15.45    29.73    27.71     0.04
APERTIF_J000089         6.8     1.85    85.08  12.96    30.48    28.41     0.03
APERTIF_J000089         6.8     2.01    98.08  11.17    31.13    29.02     0.02
APERTIF_J000089         6.8     2.18    88.31  10.86    31.70    29.54     0.01
APERTIF_J000089         6.8     2.34   104.73  13.48    32.19    30.00     0.01
APERTIF_J000089         6.8     2.50    64.60  14.41    32.62    30.40     0.00
APERTIF_J000089         6.8     2.66    83.22  11.25    33.00    30.76     0.00
APERTIF_J000089         6.8     2.82    83.51  10.35    33.34    31.08     0.00
APERTIF_J000089         6.8     2.98    73.96  13.96    33.65    31.37     0.00
APERTIF_J000089         6.8     3.14   103.27   8.67    33.93    31.63     0.00
APERTIF_J000089         6.8     3.31    88.57  15.33    34.18    31.86     0.00
APERTIF_J000094        49.7     0.40    34.35   7.88     6.03     6.70     0.20
APERTIF_J000094        49.7     0.59    31.96   6.13     7.79     8.65     0.13
APERTIF_J000094        49.7     0.78    32.15  10.19     9.01    10.01     0.08
APERTIF_J000094        49.7     0.97    39.83   3.24     9.88    10.99     0.04
APERTIF_J000094        49.7     1.16    41.76   8.30    10.53    11.70     0.02
APERTIF_J000094        49.7     1.34    38.68   7.82    11.02    12.25     0.01
APERTIF_J000094        49.7     1.53    38.74   5.19    11.40    12.67     0.01
APERTIF_J000094        49.7     1.72    34.28  10.82    11.71    13.01     0.00
APERTIF_J000094        49.7     1.91    37.96   9.31    11.96    13.29     0.00
APERTIF_J000094        49.7     2.10    32.79   7.42    12.17    13.52     0.00
APERTIF_J000094        49.7     2.29    29.96   5.57    12.34    13.72     0.00
APERTIF_J000094        49.7     2.48    26.13  10.09    12.49    13.88     0.00
APERTIF_J000094        49.7     2.67    13.31   9.48    12.62    14.03     0.00
APERTIF_J000094        49.7     2.86    28.28   9.61    12.73    14.15     0.00
APERTIF_J000094        49.7     3.05    34.18  10.08    12.83    14.26     0.00
APERTIF_J000094        49.7     3.23    21.11   7.12    12.92    14.36     0.00
APERTIF_J000094        49.7     3.42    41.35  12.12    13.00    14.45     0.00
APERTIF_J000094        49.7     3.61    29.73   7.69    13.07    14.53     0.00
APERTIF_J000094        49.7     3.80    19.53   9.02    13.13    14.60     0.00
APERTIF_J000094        49.7     3.99    32.52   9.44    13.19    14.66     0.00
APERTIF_J000095        39.6     0.40   143.05  10.10    12.25     9.74     0.75
APERTIF_J000095        39.6     0.74   128.90  12.41    21.07    16.76     0.80
APERTIF_J000095        39.6     1.08   148.22  13.89    28.07    22.32     0.65
APERTIF_J000095        39.6     1.41   117.07  14.67    33.44    26.59     0.48
APERTIF_J000095        39.6     1.75   134.50   9.36    37.54    29.85     0.33
APERTIF_J000095        39.6     2.09   128.88  12.08    40.72    32.38     0.22
APERTIF_J000095        39.6     2.43   123.85  14.62    43.23    34.37     0.14
APERTIF_J000095        39.6     2.76   107.57  13.17    45.24    35.97     0.09
APERTIF_J000095        39.6     3.10   132.48  11.67    46.88    37.27     0.06
APERTIF_J000095        39.6     3.44   108.99  11.44    48.23    38.35     0.04
APERTIF_J000095        39.6     3.78   140.63  14.16    49.37    39.26     0.02
APERTIF_J000095        39.6     4.11   132.69  12.72    50.35    40.03     0.01
APERTIF_J000095        39.6     4.45   107.22  14.55    51.18    40.69     0.01
APERTIF_J000095        39.6     4.79   150.18  11.74    51.91    41.27     0.01
APERTIF_J000095        39.6     5.13   101.22  13.83    52.54    41.78     0.00
APERTIF_J000095        39.6     5.46   116.34  14.64    53.10    42.22     0.00
APERTIF_J000095        39.6     5.80   123.95  12.11    53.60    42.62     0.00
APERTIF_J000095        39.6     6.14   120.81   8.99    54.05    42.97     0.00
APERTIF_J000095        39.6     6.48   142.41  12.41    54.45    43.29     0.00
APERTIF_J000095        39.6     6.81   147.33  13.03    54.81    43.58     0.00
APERTIF_J000095        39.6     7.15   133.80  13.92    55.14    43.84     0.00
APERTIF_J000095        39.6     7.49   110.40  15.68    55.45    44.08     0.00
APERTIF_J000102        56.6     0.40   110.67  13.00    12.97    10.65     0.70
APERTIF_J000102        56.6     1.01    94.71  13.38    26.88    22.08     0.48
APERTIF_J000102        56.6     1.62   117.94  11.93    34.57    28.39     0.20
APERTIF_J000102        56.6     2.23   147.07  16.70    39.01    32.04     0.08
APERTIF_J000102        56.6     2.84    80.12  12.81    41.81    34.34     0.03
APERTIF_J000102        56.6     3.45   121.31  15.95    43.71    35.90     0.01
APERTIF_J000102        56.6     4.06   122.24   7.83    45.08    37.03     0.00
APERTIF_J000102        56.6     4.67   111.49  15.88    46.11    37.87     0.00
APERTIF_J000102        56.6     5.28   113.73  13.66    46.91    38.53     0.00
APERTIF_J000102        56.6     5.89   119.60  12.88    47.55    39.05     0.00
APERTIF_J000102        56.6     6.49   125.98  10.92    48.08    39.48     0.00
APERTIF_J000102        56.6     7.10   117.43  14.23    48.51    39.84     0.00
APERTIF_J000102        56.6     7.71    89.29  15.93    48.88    40.14     0.00
APERTIF_J000102        56.6     8.32   115.12  13.99    49.20    40.40     0.00
APERTIF_J000106        26.1     0.40    57.30  10.18     7.54     7.34     0.29
APERTIF_J000106        26.1     0.87    35.86   9.17    12.54    12.21     0.12
APERTIF_J000106        26.1     1.34    44.27   8.53    15.00    14.61     0.04
APERTIF_J000106        26.1     1.81    41.78   7.79    16.38    15.94     0.01
APERTIF_J000106        26.1     2.28    46.00   3.00    17.24    16.78     0.00
APERTIF_J000106        26.1     2.75    83.26  15.92    17.82    17.35     0.00
APERTIF_J000106        26.1     3.22    54.77  13.55    18.24    17.76     0.00
APERTIF_J000106        26.1     3.68    56.88   8.22    18.55    18.06     0.00
APERTIF_J000106        26.1     4.15    29.39  10.67    18.80    18.30     0.00
APERTIF_J000106        26.1     4.62    40.60   8.16    19.00    18.50     0.00
APERTIF_J000106        26.1     5.09    50.18   4.90    19.16    18.65     0.00
APERTIF_J000106        26.1     5.56    35.08  11.98    19.29    18.78     0.00
APERTIF_J000110        19.3     0.40    41.35   9.19     7.02     8.67     0.21
APERTIF_J000110        19.3     0.58    47.98   7.46     8.86    10.93     0.13
APERTIF_J000110        19.3     0.77    37.22   9.17    10.10    12.46     0.07
APERTIF_J000110        19.3     0.95    41.55   4.12    10.98    13.54     0.04
APERTIF_J000110        19.3     1.13    47.93   5.76    11.62    14.33     0.02
APERTIF_J000110        19.3     1.32    28.28   6.72    12.10    14.93     0.01
APERTIF_J000110        19.3     1.50    48.43   6.52    12.48    15.39     0.00
APERTIF_J000110        19.3     1.68    44.79   8.03    12.78    15.77     0.00
APERTIF_J000110        19.3     1.86    62.14  10.37    13.02    16.07     0.00
APERTIF_J000110        19.3     2.05    43.38   9.05    13.23    16.32     0.00
APERTIF_J000110        19.3     2.23    39.93   8.84    13.40    16.53     0.00
APERTIF_J000110        19.3     2.41    35.45  12.55    13.55    16.71     0.00
APERTIF_J000110        19.3     2.60    42.30   8.00    13.67    16.87     0.00
APERTIF_J000110        19.3     2.78    60.66   8.71    13.79    17.01     0.00
APERTIF_J000110        19.3     2.96    41.37   7.12    13.88    17.13     0.00
APERTIF_J000110        19.3     3.15    58.22  10.09    13.97    17.23     0.00
APERTIF_J000110        19.3     3.33    36.70  10.72    14.05    17.33     0.00
APERTIF_J000114        48.4     0.40   128.38  16.94    12.89    10.24     0.80
APERTIF_J000114        48.4     0.83   116.60  12.55    24.45    19.42     0.81
APERTIF_J000114        48.4     1.26   124.38  13.30    32.97    26.19     0.59
APERTIF_J000114        48.4     1.70   136.88  12.94    39.03    31.00     0.38
APERTIF_J000114        48.4     2.13   131.23  10.34    43.40    34.47     0.23
APERTIF_J000114        48.4     2.56   150.17  17.06    46.63    37.04     0.13
APERTIF_J000114        48.4     2.99   149.62  18.09    49.09    38.99     0.07
APERTIF_J000114        48.4     3.42   143.97  10.42    51.01    40.52     0.04
APERTIF_J000114        48.4     3.85   136.22  18.59    52.55    41.74     0.02
APERTIF_J000114        48.4     4.29   119.75  13.96    53.81    42.74     0.01
APERTIF_J000114        48.4     4.72   118.98  14.88    54.85    43.57     0.01
APERTIF_J000114        48.4     5.15   144.93  12.40    55.73    44.27     0.00
APERTIF_J000114        48.4     5.58   151.08  13.71    56.48    44.86     0.00
APERTIF_J000114        48.4     6.01   142.05  13.01    57.13    45.38     0.00
APERTIF_J000114        48.4     6.44   142.47  21.17    57.69    45.83     0.00
APERTIF_J000114        48.4     6.88   131.62  13.24    58.19    46.22     0.00
APERTIF_J000114        48.4     7.31   132.67  10.73    58.63    46.57     0.00
APERTIF_J000114        48.4     7.74   134.92  10.64    59.02    46.88     0.00
APERTIF_J000114        48.4     8.17   140.22  15.67    59.37    47.16     0.00
APERTIF_J000114        48.4     8.60   133.17  16.88    59.69    47.41     0.00
APERTIF_J000114        48.4     9.03   144.05  12.62    59.97    47.64     0.00
APERTIF_J000123        35.4     0.40    77.54  12.92    12.28    10.69     0.57
APERTIF_J000123        35.4     0.89    94.82  14.07    22.25    19.36     0.34
APERTIF_J000123        35.4     1.39    88.92   9.25    27.70    24.11     0.14
APERTIF_J000123        35.4     1.88    84.71  14.61    30.88    26.88     0.05
APERTIF_J000123        35.4     2.38    81.21   7.30    32.90    28.64     0.02
APERTIF_J000123        35.4     2.87    81.02   9.20    34.29    29.85     0.01
APERTIF_J000123        35.4     3.37    68.17  12.97    35.30    30.72     0.00
APERTIF_J000123        35.4     3.86    94.61  10.39    36.06    31.39     0.00
APERTIF_J000123        35.4     4.36   101.51  12.42    36.66    31.90     0.00
APERTIF_J000123        35.4     4.85    96.49  13.69    37.13    32.32     0.00
APERTIF_J000123        35.4     5.35    80.26  16.56    37.52    32.66     0.00
APERTIF_J000124        35.9     0.40   114.34  15.51    10.95     8.65     0.70
APERTIF_J000124        35.9     0.99   119.13  10.99    24.06    19.01     0.69
APERTIF_J000124        35.9     1.59   124.59  11.80    32.76    25.89     0.42
APERTIF_J000124        35.9     2.18   140.10  10.85    38.40    30.34     0.22
APERTIF_J000124        35.9     2.77    83.42  17.57    42.18    33.33     0.11
APERTIF_J000124        35.9     3.37   118.17  17.10    44.85    35.44     0.05
APERTIF_J000124        35.9     3.96    87.28  14.98    46.82    36.99     0.02
APERTIF_J000124        35.9     4.56   137.08  15.28    48.32    38.18     0.01
APERTIF_J000124        35.9     5.15   132.57   7.12    49.50    39.11     0.01
APERTIF_J000124        35.9     5.74   126.61  11.51    50.45    39.86     0.00
APERTIF_J000124        35.9     6.34   109.16  14.62    51.23    40.48     0.00
APERTIF_J000124        35.9     6.93   112.15  19.24    51.88    40.99     0.00
