====================================================================================================
CALIBRATION CONSTANTE COUPLAGE k - ÉCHANTILLON SPARC COMPLET (N=175)
SPARC_028_Sc    Sc     1.37e+10  8.92e+09  2.26e+10    1.20   116.9    0.0001  567984.700
SPARC_029_Sc    Sc     1.40e+09  2.69e+08  1.67e+09    0.45    59.7    0.0001  422780.755
SPARC_030_Sd    Sd     2.65e+09  1.67e+09  4.32e+09    0.61    72.7    0.0001  544811.141
SPARC_031_Sc    Sc     8.69e+09  2.02e+10  2.89e+10    0.96    87.5    0.0001  1655495.032
SPARC_032_Sd    Sd     2.91e+09  5.80e+09  8.70e+09    0.70    70.7    0.0001  1036500.530
SPARC_033_Sd    Sd     2.31e+09  1.07e+10  1.30e+10    0.50    85.8    0.0001  1473905.714
SPARC_034_dwarf dwarf  5.92e+07  7.16e+07  1.31e+08    0.30    30.0    0.0001  191040.988
SPARC_035_dwarf dwarf  4.34e+07  1.48e+08  1.91e+08    0.30    30.0    0.0001  283830.034
SPARC_036_Sa    Sa     7.54e+10  2.55e+10  1.01e+11    2.15   176.5    0.0001  640821.152
SPARC_037_Sd    Sd     5.84e+08  2.29e+09  2.88e+09    0.48    49.0    0.0001  1032199.766
SPARC_038_Sd    Sd     4.62e+09  6.32e+09  1.09e+10    0.88    80.8    0.0001  783907.065
SPARC_039_Sb    Sb     1.39e+10  2.23e+10  3.62e+10    1.30   123.8    0.0001  757504.100
SPARC_040_Sc    Sc     2.20e+10  1.76e+10  3.97e+10    1.35   120.3    0.0001  847639.604
SPARC_041_Sd    Sd     2.29e+09  2.03e+09  4.32e+09    0.97    62.6    0.0001  460938.010
SPARC_042_Sc    Sc     1.34e+10  5.32e+09  1.88e+10    1.24   114.7    0.0001  472319.364
SPARC_043_Sd    Sd     1.74e+09  3.10e+09  4.85e+09    0.52    71.2    0.0001  763261.793
SPARC_044_dwarf dwarf  1.71e+07  1.05e+08  1.22e+08    0.30    30.0    0.0001  177334.867
SPARC_045_Sd    Sd     4.48e+08  1.35e+09  1.80e+09    0.36    43.9    0.0001  1089708.862
SPARC_046_Sb    Sb     9.55e+10  5.70e+10  1.52e+11    1.47   152.7    0.0001  1935473.602
SPARC_047_Sd    Sd     8.33e+09  5.36e+09  1.37e+10    0.91    98.6    0.0001  640607.575
SPARC_048_Sc    Sc     2.29e+10  4.95e+10  7.23e+10    1.27   111.3    0.0001  1952911.652
SPARC_049_Sc    Sc     5.05e+09  7.74e+09  1.28e+10    0.69    88.8    0.0001  977731.291
SPARC_050_Sd    Sd     1.15e+09  6.36e+09  7.51e+09    0.60    56.0    0.0001  1673720.326
SPARC_051_dwarf dwarf  8.44e+08  2.07e+09  2.91e+09    0.48    54.4    0.0001  852857.352
SPARC_052_Sb    Sb     1.93e+10  9.28e+09  2.85e+10    1.62   129.7    0.0001  427891.252
SPARC_053_dwarf dwarf  1.80e+08  1.10e+09  1.28e+09    0.31    45.6    0.0001  818095.515
SPARC_054_Sa    Sa     1.54e+10  7.75e+09  2.32e+10    0.74   105.7    0.0001  1163129.810
SPARC_055_Sc    Sc     1.31e+09  3.05e+09  4.36e+09    0.79    66.1    0.0001  515892.347
SPARC_056_dwarf dwarf  2.11e+07  9.01e+07  1.11e+08    0.30    30.0    0.0001  161211.759
SPARC_057_Sd    Sd     6.30e+09  1.63e+10  2.26e+10    0.79    75.1    0.0001  2139504.543
SPARC_058_Sd    Sd     5.80e+09  1.74e+10  2.32e+10    0.83    98.8    0.0001  1198504.149
SPARC_059_Sd    Sd     8.13e+08  1.73e+09  2.55e+09    0.47    51.0    0.0001  850958.463
SPARC_060_Sd    Sd     4.94e+08  1.87e+09  2.37e+09    0.41    49.6    0.0001  960078.073
SPARC_061_Sd    Sd     3.22e+09  1.57e+09  4.78e+09    0.92    77.9    0.0001  347625.408
SPARC_062_Sd    Sd     4.55e+09  3.44e+09  7.99e+09    1.00    82.7    0.0001  477809.194
SPARC_063_Sa    Sa     3.64e+10  2.08e+10  5.72e+10    1.79   147.3    0.0001  615811.454
SPARC_064_Sd    Sd     6.60e+08  3.84e+09  4.50e+09    0.55    42.5    0.0001  1913448.352
SPARC_065_Sd    Sd     1.43e+09  2.13e+09  3.56e+09    0.64    71.5    0.0001  440836.127
SPARC_066_Sc    Sc     8.57e+09  9.45e+09  1.80e+10    0.68    95.7    0.0001  1210888.254
SPARC_067_Sd    Sd     9.33e+09  2.28e+09  1.16e+10    0.96    86.3    0.0001  669515.392
SPARC_068_Sa    Sa     1.35e+10  1.95e+10  3.30e+10    1.17    98.0    0.0001  1225475.170
SPARC_069_Sd    Sd     1.04e+09  1.97e+09  3.01e+09    0.61    51.5    0.0001  763782.567
SPARC_070_dwarf dwarf  1.21e+07  1.21e+08  1.33e+08    0.30    30.0    0.0001  194087.568
SPARC_071_Sb    Sb     4.30e+09  5.14e+09  9.44e+09    0.63    76.6    0.0001  1061403.350
SPARC_072_Sd    Sd     3.43e+09  2.07e+09  5.50e+09    0.63    78.2    0.0001  585776.233
SPARC_073_Sd    Sd     7.61e+09  7.64e+09  1.53e+10    0.88    99.3    0.0001  725593.062
SPARC_074_Sa    Sa     1.62e+10  2.36e+10  3.98e+10    1.09    89.6    0.0001  1919507.038
SPARC_075_Sb    Sb     1.13e+10  3.40e+10  4.53e+10    0.98   109.2    0.0001  1621990.498
SPARC_076_Sb    Sb     1.99e+10  2.00e+10  3.99e+10    1.19   107.9    0.0001  1203113.731
SPARC_077_Sb    Sb     7.31e+09  4.76e+09  1.21e+10    0.68    86.7    0.0001  975661.093
SPARC_078_Sd    Sd     6.85e+09  3.64e+09  1.05e+10    1.25    99.4    0.0001  343987.657
SPARC_079_Sd    Sd     1.77e+09  3.14e+09  4.91e+09    0.50    75.5    0.0001  709063.704
SPARC_080_Sd    Sd     4.91e+08  1.76e+09  2.25e+09    0.34    41.0    0.0001  1651928.696
SPARC_081_Sa    Sa     3.72e+10  9.55e+09  4.68e+10    1.66   130.1    0.0001  694724.153
SPARC_082_Sc    Sc     2.68e+09  2.84e+09  5.52e+09    0.68    66.2    0.0001  765423.319
SPARC_083_Sd    Sd     9.41e+09  8.12e+09  1.75e+10    0.82    93.0    0.0001  1032396.099
SPARC_084_Sd    Sd     3.18e+09  7.56e+09  1.07e+10    0.72    81.0    0.0001  941080.766
SPARC_085_Sd    Sd     8.32e+08  1.11e+09  1.94e+09    0.53    49.8    0.0001  606299.283
SPARC_086_Sd    Sd     7.30e+08  4.60e+08  1.19e+09    0.48    47.5    0.0001  447909.909
SPARC_087_Sb    Sb     2.35e+10  1.74e+10  4.09e+10    1.01   116.1    0.0001  1258699.171
SPARC_088_Sc    Sc     1.59e+09  2.85e+09  4.44e+09    0.70    59.6    0.0001  733056.012
SPARC_089_Sa    Sa     4.80e+10  4.33e+10  9.13e+10    2.13   115.6    0.0001  1379969.826
SPARC_090_Sc    Sc     2.48e+10  1.09e+10  3.57e+10    1.41   118.1    0.0001  753141.750
SPARC_091_Sd    Sd     5.91e+08  1.47e+09  2.06e+09    0.41    55.4    0.0001  664973.444
SPARC_092_Sb    Sb     4.93e+10  3.64e+10  8.57e+10    1.46   142.7    0.0001  1224823.005
SPARC_093_Sb    Sb     5.27e+10  3.91e+10  9.18e+10    2.49   165.3    0.0001  574350.573
SPARC_094_Sc    Sc     1.68e+10  1.15e+10  2.83e+10    0.78   102.9    0.0001  1441426.053
SPARC_095_Sb    Sb     8.96e+09  9.38e+09  1.83e+10    1.35   100.5    0.0001  552114.290
SPARC_096_Sc    Sc     6.54e+09  6.38e+09  1.29e+10    0.92    97.1    0.0001  611295.048
SPARC_097_Sc    Sc     2.57e+10  6.97e+09  3.27e+10    1.66   131.0    0.0001  470183.401
SPARC_098_Sc    Sc     6.31e+09  5.44e+09  1.18e+10    0.90    91.4    0.0001  642293.630
SPARC_099_Sd    Sd     9.28e+08  3.36e+09  4.29e+09    0.41    55.6    0.0001  1405211.272
SPARC_100_Sd    Sd     6.53e+09  5.34e+09  1.19e+10    1.08    85.4    0.0001  618648.503
SPARC_101_Sd    Sd     5.88e+09  5.73e+09  1.16e+10    0.70    83.8    0.0001  981007.758
SPARC_102_Sc    Sc     1.21e+10  1.48e+10  2.70e+10    1.26   120.1    0.0001  612487.109
SPARC_103_Sd    Sd     2.06e+09  1.94e+09  4.00e+09    0.48    56.4    0.0001  1078459.261
SPARC_104_Sc    Sc     2.64e+10  5.54e+10  8.18e+10    1.41   113.9    0.0001  1909437.909
SPARC_105_dwarf dwarf  1.67e+08  6.15e+08  7.82e+08    0.34    37.7    0.0001  668156.269
SPARC_106_Sd    Sd     5.36e+08  1.50e+09  2.04e+09    0.60    55.0    0.0001  453601.724
SPARC_107_Sc    Sc     1.27e+10  5.98e+09  1.87e+10    1.05   106.8    0.0001  645765.337
SPARC_108_Sb    Sb     1.25e+10  2.50e+10  3.75e+10    1.03   101.4    0.0001  1480896.575
SPARC_109_Sd    Sd     3.21e+08  4.48e+08  7.69e+08    0.30    46.0    0.0001  494770.548
SPARC_110_Sd    Sd     1.05e+09  2.17e+09  3.22e+09    0.47    67.2    0.0001  615706.864
SPARC_111_Sd    Sd     1.51e+09  2.25e+09  3.75e+09    0.54    47.6    0.0001  1289137.045
SPARC_112_Sd    Sd     1.11e+09  2.06e+09  3.17e+09    0.75    64.5    0.0001  413740.301
SPARC_113_dwarf dwarf  2.12e+08  5.60e+08  7.72e+08    0.30    49.4    0.0001  428900.306
SPARC_114_Sa    Sa     5.62e+10  3.49e+10  9.11e+10    1.74   151.8    0.0001  965652.288
SPARC_115_Sc    Sc     1.93e+09  3.09e+09  5.03e+09    0.55    61.7    0.0001  1000491.774
SPARC_116_Sa    Sa     2.84e+10  2.23e+10  5.07e+10    0.80   144.8    0.0001  1263737.161
SPARC_117_Sa    Sa     3.63e+10  1.95e+10  5.57e+10    1.36   119.9    0.0001  1198086.387
SPARC_118_Sd    Sd     1.30e+09  1.40e+09  2.70e+09    0.65    68.2    0.0001  359778.062
SPARC_119_Sa    Sa     1.67e+10  2.35e+10  4.02e+10    0.93   107.8    0.0001  1567377.272
SPARC_120_Sc    Sc     2.28e+09  4.98e+09  7.25e+09    0.61    66.5    0.0001  1116643.104
SPARC_121_Sa    Sa     7.17e+10  3.10e+10  1.03e+11    2.27   146.9    0.0001  900922.800
SPARC_122_Sa    Sa     7.88e+10  6.49e+10  1.44e+11    1.98   147.8    0.0001  1454037.144
SPARC_123_Sd    Sd     6.90e+09  5.38e+09  1.23e+10    1.10    84.9    0.0001  635718.628
SPARC_124_Sd    Sd     7.98e+08  6.44e+08  1.44e+09    0.36    63.3    0.0001  402745.719
SPARC_125_Sd    Sd     1.43e+09  2.96e+09  4.39e+09    0.55    58.2    0.0001  984085.799
SPARC_126_Sc    Sc     5.38e+09  8.54e+09  1.39e+10    0.85    87.0    0.0001  900438.538
SPARC_127_Sa    Sa     1.05e+10  1.28e+10  2.34e+10    0.72    88.5    0.0001  1737728.487
SPARC_128_Sa    Sa     6.84e+10  6.42e+10  1.33e+11    1.78   167.4    0.0001  1146807.732
SPARC_129_Sd    Sd     8.10e+08  1.97e+09  2.78e+09    0.39    55.6    0.0001  966685.313
SPARC_130_Sc    Sc     1.76e+10  4.58e+09  2.21e+10    1.24   127.0    0.0001  451024.642
SPARC_131_Sc    Sc     9.94e+09  2.79e+09  1.27e+10    0.77    93.8    0.0001  775179.540
SPARC_132_Sd    Sd     4.05e+09  5.40e+09  9.45e+09    0.79    74.0    0.0001  906724.978
SPARC_133_Sd    Sd     1.21e+09  1.21e+09  2.42e+09    0.40    53.5    0.0001  863476.922
SPARC_134_Sd    Sd     1.64e+09  5.83e+09  7.47e+09    0.64    64.8    0.0001  1156936.821
SPARC_135_dwarf dwarf  2.69e+07  1.07e+08  1.34e+08    0.30    30.0    0.0001  195376.788
SPARC_136_Sd    Sd     4.53e+09  5.38e+09  9.91e+09    0.78    97.9    0.0001  541130.979
SPARC_137_Sc    Sc     4.49e+09  9.31e+09  1.38e+10    0.70    87.2    0.0001  1076108.549
SPARC_138_Sb    Sb     2.43e+10  3.64e+10  6.07e+10    1.13   121.8    0.0001  1536656.291
SPARC_139_Sd    Sd     5.07e+08  1.18e+09  1.69e+09    0.46    48.3    0.0001  642220.082
SPARC_140_dwarf dwarf  2.91e+08  3.35e+08  6.26e+08    0.39    46.0    0.0001  307269.500
SPARC_141_dwarf dwarf  4.99e+08  1.17e+09  1.67e+09    0.30    49.3    0.0001  945672.995
SPARC_142_Sd    Sd     2.25e+09  4.06e+09  6.31e+09    0.51    76.5    0.0001  867870.297
SPARC_143_Sc    Sc     2.86e+10  2.03e+10  4.89e+10    1.57   130.4    0.0001  766282.704
SPARC_144_Sd    Sd     5.54e+09  6.75e+09  1.23e+10    0.85    82.4    0.0001  880651.476
SPARC_145_Sd    Sd     4.80e+08  1.39e+09  1.87e+09    0.36    53.1    0.0001  751165.358
SPARC_146_Sd    Sd     9.40e+08  1.03e+09  1.97e+09    0.66    56.5    0.0001  381404.763
SPARC_147_Sc    Sc     8.69e+09  1.09e+10  1.96e+10    1.14    97.3    0.0001  748090.727
SPARC_148_Sc    Sc     1.58e+10  2.87e+10  4.45e+10    1.03   129.0    0.0001  1084146.775
SPARC_149_Sd    Sd     2.76e+09  2.99e+09  5.75e+09    0.91    84.9    0.0001  355364.742
SPARC_150_Sd    Sd     4.63e+08  8.11e+08  1.27e+09    0.30    42.3    0.0001  971935.279
SPARC_151_dwarf dwarf  2.93e+07  1.65e+08  1.94e+08    0.30    30.0    0.0001  288035.013
SPARC_152_Sd    Sd     8.41e+09  4.45e+09  1.29e+10    1.15    93.7    0.0001  519308.695
SPARC_153_Sd    Sd     1.59e+09  1.27e+09  2.86e+09    0.62    64.2    0.0001  455255.372
SPARC_154_Sc    Sc     5.88e+09  9.68e+09  1.56e+10    0.75    83.0    0.0001  1257594.726
SPARC_155_dwarf dwarf  2.36e+07  9.33e+07  1.17e+08    0.30    30.0    0.0001  169830.377
SPARC_156_Sd    Sd     5.38e+08  8.72e+08  1.41e+09    0.37    51.3    0.0001  590136.742
SPARC_157_Sb    Sb     2.02e+10  4.77e+10  6.79e+10    1.76   112.1    0.0001  1299758.641
SPARC_158_Sb    Sb     8.58e+10  3.44e+10  1.20e+11    2.01   177.0    0.0001  819795.164
SPARC_159_Sd    Sd     2.12e+09  2.99e+09  5.11e+09    0.53    59.1    0.0001  1137972.708
SPARC_160_Sb    Sb     1.75e+10  8.94e+09  2.65e+10    1.06   117.7    0.0001  743339.837
SPARC_161_Sd    Sd     1.75e+09  1.69e+10  1.87e+10    0.53    61.6    0.0001  3916661.297
SPARC_162_Sc    Sc     7.06e+09  1.61e+10  2.32e+10    1.01    88.4    0.0001  1226090.596
SPARC_163_Sc    Sc     9.72e+09  1.73e+10  2.70e+10    1.09   110.5    0.0001  838834.469
SPARC_164_Sc    Sc     1.35e+10  2.76e+10  4.11e+10    1.05   109.3    0.0001  1368718.639
SPARC_165_Sd    Sd     4.12e+09  6.94e+09  1.11e+10    0.71    80.4    0.0001  1005743.352
SPARC_166_Sa    Sa     1.94e+10  3.84e+10  5.78e+10    1.26   118.5    0.0001  1373763.925
SPARC_167_Sd    Sd     7.76e+08  2.61e+09  3.38e+09    0.71    51.2    0.0001  745805.342
SPARC_168_Sd    Sd     2.05e+09  3.84e+09  5.89e+09    0.61    69.2    0.0001  835110.889
SPARC_169_Sd    Sd     7.91e+09  6.23e+09  1.41e+10    0.97   105.0    0.0001  543829.098
SPARC_170_Sc    Sc     7.47e+09  4.01e+09  1.15e+10    1.16    79.8    0.0001  638470.681
SPARC_171_Sb    Sb     6.42e+10  2.50e+10  8.91e+10    1.88   186.1    0.0001  576583.056
SPARC_172_Sd    Sd     1.48e+09  2.50e+09  3.98e+09    0.42    49.7    0.0001  1598115.982
SPARC_173_Sc    Sc     1.56e+10  6.73e+09  2.23e+10    1.31   114.5    0.0001  532445.303
SPARC_174_Sd    Sd     8.13e+08  1.17e+09  1.98e+09    0.54    52.9    0.0001  541684.433
SPARC_175_Sc    Sc     9.07e+09  3.26e+09  1.23e+10    0.84    97.2    0.0001  636569.473

====================================================================================================
STATISTIQUES
====================================================================================================

k moyen:   0.0001 ± 0.0000
k médian:  0.0001
k min:     0.0001
k max:     0.0001
Scatter:   facteur 1.0

χ²_red moyen:   910888.694
χ²_red médian:  765423.319

====================================================================================================
MEILLEUR MODÈLE UNIFIÉ
====================================================================================================

