# SDSS-like Void Catalog (synthetic based on published statistics)
# Reference: Sutter et al. 2012, Mao et al. 2017
# RA DEC z R_eff[Mpc/h] delta_c
153.8495 22.5444 0.1721 17.56 -0.848
245.7205 16.2586 0.2162 44.48 -0.521
254.0444 26.3192 0.1510 29.87 -0.710
147.0738 50.9958 0.2663 30.78 -0.773
267.1987 0.0802 0.1288 9.85 -0.593
123.9210 5.7135 0.3676 11.25 -0.701
134.3427 66.1156 0.2001 5.00 -0.776
131.3182 4.0393 0.0814 13.34 -0.575
251.9783 35.4182 0.0643 32.27 -0.553
211.2297 36.3452 0.1886 25.90 -0.631
125.8577 29.1700 0.1321 17.90 -0.881
174.8550 41.5796 0.2071 19.78 -0.673
204.6007 8.3861 0.1879 14.17 -0.595
114.1889 34.2130 0.1442 22.16 -0.845
250.0108 19.7739 0.0823 29.33 -0.809
236.6126 42.9334 0.0288 8.92 -0.547
185.8852 1.2979 0.1143 23.23 -0.892
264.4115 35.6702 0.2185 31.88 -0.599
171.0194 4.8216 0.1671 16.25 -0.710
267.2988 12.2914 0.0503 28.39 -0.721
213.5464 7.4968 0.1639 81.70 -0.897
207.8941 4.6270 0.1808 18.98 -0.572
128.2123 56.0569 0.0793 24.35 -0.756
249.9277 12.8566 0.1623 13.83 -0.684
172.6732 64.1699 0.1547 21.90 -0.629
127.5797 67.5941 0.0586 25.18 -0.619
102.1433 35.7008 0.1786 22.05 -0.518
195.1585 1.4401 0.1949 12.01 -0.687
189.6579 19.9639 0.2366 22.17 -0.740
222.2901 53.8186 0.2343 41.55 -0.519
251.3439 19.3913 0.0398 25.03 -0.643
113.4991 -3.0386 0.0750 32.35 -0.781
224.3544 34.5428 0.1912 17.76 -0.849
131.8600 57.6097 0.1911 29.10 -0.563
245.8901 53.6741 0.1912 23.00 -0.755
239.2408 4.0099 0.4582 12.43 -0.636
191.9349 43.8212 0.1957 23.45 -0.712
220.7413 7.6403 0.2408 12.18 -0.820
153.4395 7.4566 0.2263 14.57 -0.659
180.0985 59.9257 0.2021 21.99 -0.876
239.6783 9.9735 0.1248 23.20 -0.735
178.0751 11.0598 0.2107 11.04 -0.681
160.8257 -9.9477 0.0882 33.88 -0.726
184.0161 59.6535 0.1311 26.62 -0.601
240.8024 53.4076 0.1112 14.06 -0.569
156.9854 40.1863 0.1565 9.27 -0.592
129.5395 50.0213 0.3352 18.60 -0.884
221.0424 2.1639 0.2049 16.00 -0.822
240.4163 26.6659 0.0210 21.16 -0.685
117.1084 18.0976 0.1122 16.68 -0.526
140.7786 -2.4979 0.2371 7.33 -0.566
124.1352 28.8904 0.1551 16.47 -0.563
159.1500 63.6592 0.0638 17.17 -0.779
176.5597 -6.7953 0.0928 27.46 -0.728
227.3005 13.3169 0.2044 14.11 -0.712
210.6951 6.6033 0.0916 46.30 -0.837
205.5579 9.0517 0.1673 7.69 -0.888
159.9037 62.6748 0.1536 38.53 -0.521
243.0461 27.4455 0.0979 17.88 -0.804
180.1188 27.3040 0.3215 30.74 -0.804
266.4478 50.8461 0.2007 20.81 -0.867
207.8042 2.3594 0.0120 35.36 -0.529
121.4650 28.9812 0.1649 16.48 -0.668
214.9502 24.3988 0.0971 11.55 -0.633
155.2677 37.7529 0.2182 40.69 -0.535
216.6756 69.9646 0.0866 18.90 -0.762
111.8390 51.5559 0.1408 22.34 -0.651
129.7298 21.8293 0.1904 37.08 -0.884
245.4753 56.2042 0.2193 11.94 -0.825
138.6205 3.6567 0.0540 26.94 -0.568
242.2970 -7.5629 0.1232 14.89 -0.593
147.4769 6.3559 0.1120 18.72 -0.760
209.2899 17.2329 0.0977 20.74 -0.749
218.0056 30.8465 0.2912 9.45 -0.687
187.1513 39.2103 0.1824 13.55 -0.900
151.9028 62.8485 0.0491 39.30 -0.804
136.1495 30.7883 0.2234 31.15 -0.817
105.6422 30.1021 0.3198 19.38 -0.800
151.6709 -5.9806 0.2326 22.59 -0.578
211.0377 -7.2071 0.0285 17.26 -0.788
259.5118 34.0928 0.1113 39.41 -0.823
248.1048 25.0543 0.2514 18.09 -0.698
230.2310 57.1344 0.0934 22.46 -0.554
234.0360 2.8544 0.1855 35.47 -0.803
213.0474 -8.0023 0.2120 13.56 -0.869
144.2488 25.9231 0.0758 43.60 -0.757
254.2232 8.9983 0.1452 9.30 -0.601
214.0245 -6.0309 0.1093 45.18 -0.680
195.2749 47.9679 0.0680 16.60 -0.573
118.8682 -1.0726 0.1298 17.71 -0.516
175.9994 38.6656 0.0502 7.77 -0.583
178.2609 12.4840 0.2806 15.93 -0.658
246.9758 3.8797 0.0356 11.89 -0.703
192.9302 20.3801 0.1148 14.76 -0.884
164.6681 54.1157 0.1605 18.67 -0.506
266.0561 21.3675 0.2653 32.29 -0.747
118.8225 50.0616 0.0351 22.19 -0.839
171.8332 0.0389 0.2431 23.33 -0.633
107.1442 51.8217 0.1508 11.56 -0.786
225.7837 8.9547 0.0715 12.88 -0.666
256.0730 44.1915 0.1870 49.16 -0.665
147.6063 35.2625 0.1659 13.85 -0.722
245.9181 64.3316 0.1020 45.78 -0.566
149.6771 20.9858 0.1556 17.71 -0.794
254.8309 -4.7068 0.1192 20.02 -0.721
228.1735 -8.4676 0.1591 34.16 -0.685
236.8342 56.1487 0.2030 37.78 -0.635
103.0611 31.9789 0.2769 18.92 -0.586
263.6778 52.0195 0.0510 16.47 -0.742
223.5341 8.7540 0.3206 19.45 -0.642
151.8077 17.6067 0.1379 23.68 -0.840
240.9971 -7.5917 0.1971 31.23 -0.527
147.8586 66.9194 0.1725 20.04 -0.747
248.3682 43.4294 0.1002 27.25 -0.608
119.1387 64.6564 0.1334 45.37 -0.892
219.6266 11.2397 0.1106 24.20 -0.818
191.9187 38.9171 0.1029 23.37 -0.705
116.4109 44.2800 0.2180 9.36 -0.549
141.1220 15.4040 0.1786 5.37 -0.689
102.1087 57.8487 0.0946 24.29 -0.528
179.6906 65.7729 0.2220 19.07 -0.706
151.2151 60.7884 0.1746 15.46 -0.704
201.7208 49.1254 0.2150 22.59 -0.852
150.5304 12.1972 0.2004 19.40 -0.579
150.9862 12.5293 0.0837 35.15 -0.801
226.3428 67.0688 0.1052 20.88 -0.540
108.1843 -9.1772 0.2098 13.77 -0.536
253.4921 47.2840 0.1988 32.81 -0.523
244.8849 46.4997 0.1483 17.94 -0.692
213.5268 39.8152 0.1594 26.02 -0.629
200.8477 69.2087 0.2522 15.75 -0.589
251.6914 14.9504 0.1027 14.45 -0.848
131.5061 17.1977 0.1938 20.86 -0.660
113.4248 -3.6848 0.1338 20.13 -0.886
140.7167 25.4239 0.1326 25.42 -0.701
235.0783 10.8839 0.2379 17.49 -0.838
105.8939 17.4709 0.2160 7.98 -0.827
199.0772 56.7657 0.2151 16.11 -0.754
269.2244 64.8388 0.2544 29.74 -0.727
245.4683 4.8586 0.1517 17.24 -0.651
188.6458 19.8007 0.2046 17.68 -0.870
110.8190 64.2904 0.1252 32.75 -0.699
241.3335 -5.0553 0.1759 14.01 -0.827
201.8263 -2.6112 0.1396 9.25 -0.670
119.5386 3.0233 0.1578 18.46 -0.645
115.9557 37.6170 0.1976 15.70 -0.677
254.6366 2.0378 0.0845 12.34 -0.605
213.7640 67.4461 0.3174 18.32 -0.766
240.9788 25.7372 0.0695 25.57 -0.594
249.4264 30.1214 0.0529 19.91 -0.727
197.2013 9.7327 0.2426 23.32 -0.706
187.9659 27.6768 0.2133 49.52 -0.641
173.1727 42.9531 0.1999 16.85 -0.893
153.8809 50.0942 0.2003 22.99 -0.638
173.8813 50.3094 0.1490 15.50 -0.653
231.5595 36.2313 0.0782 13.10 -0.776
202.3270 62.3488 0.1561 14.93 -0.866
251.7290 55.3926 0.0958 15.74 -0.864
175.3746 50.5638 0.2280 23.94 -0.531
203.2052 -5.5516 0.1382 64.73 -0.624
207.3223 -9.4498 0.0840 13.98 -0.849
200.5885 6.9958 0.1243 16.24 -0.757
219.4477 43.0819 0.1830 19.38 -0.663
140.3637 22.8958 0.1049 24.38 -0.566
187.1018 22.1925 0.0842 22.82 -0.883
117.7182 60.7670 0.1695 38.01 -0.805
165.3669 61.6450 0.1696 5.94 -0.544
182.9034 62.7340 0.1094 6.06 -0.896
210.8781 15.1102 0.1123 15.61 -0.819
261.5903 45.2845 0.1686 34.62 -0.516
202.1107 11.7307 0.0342 9.14 -0.655
226.4110 5.2488 0.0374 5.00 -0.795
186.0652 4.7706 0.0925 26.61 -0.873
207.7977 17.3686 0.1329 22.59 -0.889
112.0585 24.3966 0.1749 11.60 -0.802
143.2466 56.4759 0.2680 12.22 -0.547
161.5150 -0.4087 0.2186 12.32 -0.734
180.3239 48.7941 0.1372 21.14 -0.612
107.7603 32.5164 0.1485 14.62 -0.533
123.8041 13.0356 0.0698 25.60 -0.737
147.0584 29.4256 0.1485 5.00 -0.823
265.1606 13.9954 0.1269 13.03 -0.693
156.3290 37.6866 0.1758 11.39 -0.537
181.9470 24.7075 0.0838 17.59 -0.578
133.3366 3.1524 0.1915 15.28 -0.874
203.8326 -0.6734 0.2726 29.80 -0.623
147.7161 33.7357 0.1413 7.89 -0.671
135.1887 62.1930 0.1821 20.46 -0.537
187.8173 17.5166 0.2052 26.44 -0.851
100.9360 48.6400 0.1179 50.61 -0.686
101.3029 42.6929 0.1679 15.72 -0.548
137.2417 64.5244 0.1510 23.52 -0.736
106.2426 55.6785 0.1578 8.12 -0.707
118.3644 35.3284 0.0882 6.05 -0.872
157.6063 42.5624 0.1520 30.51 -0.789
236.4396 61.8709 0.1898 19.94 -0.770
197.2483 21.9615 0.2661 36.05 -0.522
187.1535 16.1436 0.2267 10.06 -0.787
149.8931 -9.1351 0.3223 25.94 -0.716
258.3981 56.1241 0.0886 50.91 -0.631
167.4926 54.0785 0.2198 24.67 -0.835
114.8058 -1.6436 0.1647 22.97 -0.705
204.9013 36.1486 0.3252 20.09 -0.605
119.3525 27.1185 0.0853 9.12 -0.553
158.6879 -0.5033 0.0828 39.39 -0.649
186.2600 68.4455 0.1020 14.74 -0.632
248.6178 7.1757 0.0199 25.74 -0.849
183.9029 -4.6213 0.1079 9.15 -0.522
219.3840 37.5878 0.0893 11.09 -0.847
268.7789 49.1093 0.1620 40.99 -0.590
122.3532 -7.4045 0.1773 16.81 -0.794
146.7044 42.6974 0.3001 41.36 -0.527
167.0779 32.5834 0.2260 19.23 -0.612
171.7108 -1.7388 0.1038 7.96 -0.598
169.8736 3.8019 0.0781 31.24 -0.812
254.2939 35.4379 0.1894 14.89 -0.723
221.3855 13.7086 0.0444 28.36 -0.653
203.3439 65.0653 0.2965 20.25 -0.592
152.5934 55.4992 0.2444 9.25 -0.858
240.0444 68.6854 0.1125 21.71 -0.515
262.3603 10.7737 0.0129 59.97 -0.544
239.6037 67.5779 0.2583 25.59 -0.792
100.2661 24.4987 0.1408 19.43 -0.571
208.1882 17.8015 0.2490 34.24 -0.693
108.6930 -5.9720 0.0224 22.22 -0.715
143.7932 -5.7788 0.1020 22.21 -0.774
110.1192 45.3609 0.1504 11.59 -0.668
202.6452 26.6343 0.1538 22.48 -0.608
216.7203 8.1217 0.1140 33.56 -0.736
119.4629 39.1176 0.1998 13.17 -0.648
165.2526 10.2286 0.0646 40.77 -0.620
177.5602 36.2105 0.1386 19.10 -0.616
162.7390 18.7367 0.1596 12.83 -0.879
120.5743 55.8842 0.1912 32.94 -0.556
171.2211 55.6557 0.2069 17.33 -0.717
227.7003 28.1880 0.0600 29.24 -0.795
112.0713 18.0655 0.0273 17.29 -0.803
113.6306 19.0048 0.2522 19.41 -0.707
160.3111 54.4572 0.1766 25.60 -0.545
260.0934 16.2544 0.0901 23.13 -0.749
213.6573 6.7247 0.2741 7.37 -0.600
215.3739 -3.2249 0.1593 11.42 -0.861
161.5264 27.3354 0.2443 31.83 -0.710
200.9223 28.5706 0.1554 18.72 -0.503
101.7223 57.2727 0.3149 15.39 -0.592
208.1363 7.6991 0.2904 10.14 -0.816
255.2588 20.4793 0.1301 11.66 -0.699
204.1375 54.6725 0.2277 7.28 -0.807
248.5288 55.8899 0.2016 19.01 -0.736
223.0754 20.7689 0.2595 14.83 -0.588
120.4949 26.7299 0.0728 12.33 -0.592
253.4171 14.2629 0.2049 19.33 -0.809
111.2955 64.6044 0.2347 23.99 -0.531
190.7745 -0.5085 0.0553 56.96 -0.663
124.1633 64.7000 0.0131 9.39 -0.748
101.9901 44.7093 0.1284 35.71 -0.699
171.7458 32.5258 0.2074 32.53 -0.658
150.1569 -7.3873 0.2702 13.55 -0.676
182.6201 28.0477 0.1559 22.14 -0.705
198.1240 22.6198 0.2803 15.91 -0.698
107.4356 2.8975 0.0396 21.95 -0.829
120.9106 42.5128 0.0137 42.53 -0.575
194.9692 67.6921 0.1456 27.07 -0.683
158.3385 34.9751 0.1807 25.79 -0.848
223.9595 47.1803 0.1474 16.13 -0.594
210.8896 -4.5240 0.0154 9.52 -0.527
243.7527 23.4134 0.1429 18.02 -0.521
217.7238 -0.6913 0.0456 36.56 -0.752
173.0883 39.0237 0.2036 9.32 -0.846
214.4043 65.0786 0.1793 11.80 -0.693
146.8148 42.9422 0.0748 21.30 -0.855
152.0733 -3.8558 0.1089 12.22 -0.526
234.1275 18.3733 0.0653 13.46 -0.827
175.8913 34.0531 0.1450 16.18 -0.799
235.7247 22.2566 0.2264 10.10 -0.737
239.8118 56.6915 0.0711 12.29 -0.747
245.7856 55.1737 0.1903 28.43 -0.582
255.8280 38.9465 0.1076 10.40 -0.717
173.2675 19.8766 0.0866 9.00 -0.832
154.2074 10.4269 0.1414 14.60 -0.793
198.9738 -1.5301 0.0672 28.84 -0.696
163.0993 18.3918 0.1057 18.12 -0.841
202.1826 23.0538 0.0542 15.85 -0.655
219.9496 44.0658 0.3072 20.45 -0.674
217.0289 42.6528 0.1528 8.36 -0.614
163.6740 -4.3913 0.0940 25.61 -0.525
128.3662 21.6207 0.1671 24.23 -0.535
173.1900 4.5423 0.1410 16.30 -0.522
124.2410 2.5450 0.1323 33.07 -0.802
251.3165 56.1842 0.1991 11.38 -0.847
158.7992 -6.6468 0.2106 35.15 -0.779
126.2582 23.5346 0.1076 21.61 -0.542
104.3261 3.4563 0.1039 16.90 -0.511
209.7898 60.3464 0.1280 19.80 -0.556
208.2734 34.5632 0.0342 18.96 -0.856
157.9027 8.5105 0.0288 36.81 -0.521
112.1910 30.1942 0.2593 11.67 -0.731
169.6369 48.5189 0.2816 13.66 -0.896
152.9070 66.6494 0.1301 33.58 -0.723
215.1105 7.6357 0.1961 14.85 -0.882
202.9825 60.8945 0.1749 31.37 -0.682
161.9809 64.7443 0.3963 46.78 -0.765
137.0417 63.3136 0.2396 16.36 -0.711
267.9661 40.8331 0.1398 28.12 -0.655
177.1803 40.3857 0.0736 11.23 -0.552
217.0066 22.2569 0.0215 29.17 -0.635
123.8940 50.1918 0.1663 22.10 -0.726
182.5502 32.5035 0.0895 25.34 -0.572
104.6812 44.1950 0.0362 14.48 -0.538
185.9274 24.2766 0.0983 8.72 -0.852
263.8830 48.5197 0.0635 25.72 -0.687
165.3151 55.9577 0.2850 7.13 -0.786
106.6293 1.7149 0.2205 17.07 -0.881
105.2625 56.6344 0.1494 32.02 -0.633
165.9577 33.2237 0.2684 22.01 -0.555
127.2042 57.5733 0.1562 52.98 -0.835
103.9699 24.5041 0.0811 33.39 -0.575
228.5563 20.3232 0.2718 14.42 -0.559
177.9489 63.2049 0.1931 20.28 -0.534
149.1716 10.0935 0.0670 19.53 -0.794
253.0141 57.5370 0.1348 9.07 -0.538
119.7436 28.7216 0.0800 12.50 -0.772
262.5062 31.1276 0.0394 15.11 -0.679
153.3743 14.6775 0.2241 7.23 -0.880
251.0286 35.8434 0.3028 20.48 -0.882
202.5003 16.0169 0.0381 17.66 -0.612
240.5403 -6.8584 0.1950 8.66 -0.722
267.2822 11.7599 0.0979 24.48 -0.797
149.0289 -9.4897 0.1110 28.61 -0.824
263.3930 68.2684 0.1026 22.40 -0.632
166.2119 67.2598 0.0809 17.01 -0.900
165.5370 21.6124 0.1539 26.88 -0.578
157.8658 48.2697 0.0835 28.10 -0.868
192.0393 17.6645 0.1716 23.32 -0.823
126.2047 43.6875 0.1460 13.24 -0.746
194.1310 54.4344 0.1309 22.97 -0.706
192.0898 65.7405 0.0774 36.36 -0.758
229.5233 22.0170 0.1039 14.84 -0.772
241.7205 52.6638 0.2104 57.09 -0.514
174.8750 11.2743 0.1901 15.38 -0.643
151.3967 69.2266 0.0718 20.33 -0.891
144.0869 -7.9384 0.1579 14.29 -0.728
133.0861 38.2823 0.2101 22.36 -0.550
109.8001 42.7605 0.0164 8.37 -0.779
158.2162 45.0436 0.1935 15.22 -0.862
145.9421 -0.3690 0.0970 11.58 -0.597
264.2910 65.0824 0.1956 21.40 -0.658
194.8105 4.4947 0.0889 32.88 -0.672
159.0371 39.8203 0.0198 27.63 -0.879
198.6795 7.8141 0.1538 6.11 -0.844
123.6634 14.5773 0.1708 55.52 -0.651
175.4874 33.7167 0.0777 23.18 -0.817
206.4598 23.3755 0.2011 13.56 -0.698
183.1126 2.8180 0.0171 21.63 -0.682
168.3024 3.6749 0.1447 21.84 -0.787
268.9542 23.4516 0.0531 14.33 -0.521
249.6535 50.5826 0.0979 22.08 -0.563
205.9790 61.8372 0.1538 14.76 -0.611
196.7942 -3.2698 0.0812 16.34 -0.869
205.5123 21.4483 0.1192 14.19 -0.858
134.2231 -1.9804 0.2305 9.77 -0.703
167.1734 -8.6726 0.1038 21.51 -0.836
106.7081 42.9375 0.2169 26.80 -0.509
180.8428 38.1960 0.0596 25.87 -0.837
192.3142 3.0415 0.1924 30.14 -0.705
138.7175 8.7050 0.2653 23.52 -0.754
263.8849 -8.1034 0.0477 15.32 -0.644
254.6073 56.7958 0.0862 30.43 -0.848
222.7644 67.9752 0.1962 10.14 -0.728
190.6757 0.8368 0.1338 12.75 -0.790
247.8948 8.5180 0.1797 12.35 -0.545
122.2109 59.4728 0.1017 34.32 -0.884
234.3867 64.1171 0.1569 32.04 -0.535
121.2195 23.5702 0.1375 25.52 -0.567
235.0158 -5.9502 0.2434 34.18 -0.781
146.8805 -6.8487 0.1704 12.89 -0.584
249.1054 35.9160 0.1770 23.81 -0.888
260.4872 21.4316 0.1170 18.79 -0.513
125.2953 -7.7078 0.1110 30.54 -0.689
178.6549 36.6602 0.1154 18.88 -0.779
266.7679 -9.0958 0.1816 16.50 -0.755
182.1793 52.9898 0.1163 26.21 -0.873
246.8031 14.5146 0.1732 30.99 -0.504
200.0844 -6.7794 0.3160 14.32 -0.884
163.8061 37.0682 0.2197 19.40 -0.638
148.5832 21.8148 0.1239 11.78 -0.723
134.5479 67.9040 0.2461 5.74 -0.520
229.5057 33.5359 0.1174 22.11 -0.802
165.7119 12.0191 0.0130 27.12 -0.687
186.9168 46.7551 0.0694 22.80 -0.707
183.6953 11.7194 0.1219 7.55 -0.619
198.1374 62.3395 0.1515 16.78 -0.873
247.1481 19.9778 0.2841 6.60 -0.822
266.7257 33.9895 0.1762 39.67 -0.814
169.2893 -5.9542 0.1325 11.62 -0.605
240.6782 24.0897 0.2164 37.47 -0.824
229.9697 56.5891 0.0269 32.09 -0.671
197.4999 54.4519 0.1688 12.75 -0.814
262.5280 7.9455 0.2117 11.35 -0.555
134.0807 8.0863 0.0317 23.83 -0.523
118.5749 55.3844 0.2415 13.11 -0.693
245.1735 64.4319 0.1771 21.05 -0.759
174.6555 -2.3711 0.1168 15.71 -0.806
243.9847 26.0047 0.2006 8.21 -0.880
251.8253 16.9963 0.3317 6.56 -0.793
