# Cluster Catalog (synthetic based on Abell/redMaPPer statistics)
# RA DEC z R200[Mpc] log_M200
41.4195 -39.2516 0.4314 1.89 14.29
173.7977 27.4122 0.1050 1.52 14.44
348.1986 54.5248 0.3449 1.43 14.68
68.9425 -89.0441 0.0332 2.66 14.63
265.5181 -15.6175 0.1354 1.26 15.18
110.6034 10.5566 0.5046 1.78 14.41
54.3278 -62.3176 0.0985 1.08 14.99
341.3897 -34.4640 0.0517 1.83 15.13
166.2987 52.0872 0.1265 0.85 14.47
16.5188 62.7675 0.1417 1.17 15.26
115.0839 -89.2980 0.3062 1.88 14.17
310.4124 -46.9461 0.3226 1.75 14.68
70.2216 -35.3828 0.4629 1.86 14.61
17.8033 88.8582 0.2020 1.96 15.28
61.1639 -43.8894 0.0306 1.12 15.40
232.0249 -38.2059 0.0856 1.79 15.09
356.5168 -56.1980 0.3256 2.20 14.82
49.8629 55.4055 0.0442 1.95 15.13
42.2462 29.4008 0.0879 1.62 15.05
95.1788 20.0662 0.1439 1.13 15.16
49.3239 -49.6632 0.0164 1.69 14.01
308.1231 81.5729 0.1010 1.15 15.35
278.1208 41.5307 0.0560 1.86 14.44
294.4521 49.5973 0.2092 1.05 14.40
161.4486 50.9385 0.1886 1.18 14.28
347.6872 -35.5682 0.4259 1.31 15.04
284.2241 31.1923 0.2250 2.13 15.07
341.4226 36.6541 0.0364 0.98 14.48
58.7805 -38.8075 0.3530 1.06 14.11
272.6160 -28.9645 0.1205 1.39 14.98
310.2305 17.4257 0.2796 1.87 14.44
100.4194 -65.8077 0.3836 3.26 14.36
31.5600 -67.0929 0.2649 1.27 15.03
159.1156 43.8069 0.0752 1.80 14.37
289.7240 -44.1151 0.1368 1.16 14.38
179.6561 76.0717 0.0850 0.77 14.28
311.4531 -1.3723 0.1777 1.49 14.73
326.2734 79.8041 0.0994 0.92 14.36
191.1702 12.1590 0.0206 1.91 14.70
3.2642 -32.0372 0.1551 1.88 15.04
273.8763 -47.8058 0.0344 1.30 14.37
243.0545 38.1744 0.2049 2.49 14.70
65.2198 -68.1315 0.0167 1.07 15.03
302.0938 -74.2024 0.0611 1.38 14.86
99.3002 66.5149 0.5223 0.96 14.77
288.0043 -89.7571 0.1811 1.44 14.95
161.8010 71.5648 0.0801 1.36 14.92
228.2111 28.2616 0.0193 1.52 14.81
12.9032 74.3618 0.1943 0.93 14.82
45.6783 72.9658 0.3538 2.29 14.76
87.1116 73.3678 0.1316 2.13 14.35
265.5434 4.1151 0.1956 1.60 14.19
155.6765 -86.0762 0.0518 1.19 14.64
193.2433 64.8718 0.1110 1.74 14.81
116.1232 65.0907 0.2530 1.20 15.16
153.9951 18.8941 0.1361 1.96 14.54
228.0048 -86.9328 0.0714 0.83 14.99
66.2876 44.9543 0.0121 1.52 14.76
151.0308 73.2365 0.1001 1.38 14.74
243.8324 -58.4487 0.0947 1.72 14.73
305.4834 -4.1263 0.0300 1.31 14.82
150.0198 -23.6036 0.0109 0.95 14.48
266.1027 -67.6029 0.1065 0.93 15.14
26.6048 21.9015 0.0605 1.62 14.13
195.7461 -32.4284 0.0362 1.36 15.41
122.0758 74.7091 0.0149 1.81 14.86
160.9547 88.2226 0.2730 1.73 14.90
56.8683 78.8760 0.0658 2.36 14.58
55.3027 61.5023 0.2630 2.19 15.18
175.7570 39.4391 0.3874 1.56 14.43
230.1137 5.6690 0.1681 0.91 15.26
307.2591 22.3456 0.0979 1.11 14.31
332.5505 67.4927 0.0260 2.08 14.10
261.1181 46.9162 0.4564 1.32 14.96
121.9475 24.1542 0.0272 1.07 15.14
148.0059 47.6347 0.0691 1.24 14.46
221.2284 -69.3124 0.4090 1.31 14.02
268.7383 85.8417 0.0128 2.12 14.93
174.9869 -24.4377 0.0908 1.69 15.28
242.3758 69.5409 0.3274 1.01 14.92
109.8466 51.5780 0.0577 2.23 14.54
54.8183 29.5177 0.4931 1.12 14.74
149.2860 15.8166 0.0998 1.77 14.85
17.3614 40.9502 0.0581 1.47 15.05
129.4877 -87.7396 0.5442 1.74 15.13
134.2385 -67.7391 0.0884 1.05 15.37
339.0114 -20.9692 0.0889 1.44 15.35
114.8881 63.2172 0.1858 1.42 14.18
307.4797 -29.8339 0.1476 1.70 15.18
146.8600 -56.5747 0.1666 1.85 15.40
317.3429 -3.6430 0.5359 0.87 14.34
330.7222 -48.6355 0.1627 1.30 14.38
11.1487 67.0567 0.0144 1.70 14.88
204.2620 -38.1687 0.1336 0.99 14.75
318.6113 -75.7899 0.0357 1.16 14.85
286.2061 -23.9294 0.2378 1.70 14.37
143.3810 -70.7190 0.0647 1.75 15.23
224.0985 28.1740 0.1047 1.53 15.29
110.1089 8.9841 0.1824 1.54 15.11
214.0358 -16.0306 0.0282 1.64 14.35
163.6214 17.0526 0.1378 1.46 14.71
157.6812 74.6999 0.0262 1.53 14.62
302.4324 -0.0716 0.2628 1.67 14.44
277.7844 -24.4414 0.0607 1.37 14.50
337.7090 64.4505 0.1187 1.61 14.86
10.8275 46.2973 0.2664 2.31 14.95
131.8317 -18.2908 0.5214 0.80 14.99
207.3017 -27.4805 0.0595 1.90 15.10
97.1977 49.4372 0.0139 0.88 14.92
109.7452 40.5889 0.4965 1.06 14.35
106.6146 72.5346 0.3771 2.46 15.18
83.9235 75.8252 0.2851 1.28 14.73
262.1045 -4.6469 0.1021 1.59 14.11
74.0203 -59.2509 0.0948 1.72 14.43
49.7533 22.3201 0.1228 1.81 14.95
68.3573 -69.3969 0.0170 0.96 14.06
302.8368 70.4046 0.3435 1.46 15.25
71.3506 73.9209 0.1432 1.23 14.69
297.7014 77.3697 0.1769 1.71 15.12
243.4500 22.8579 0.0657 1.57 14.95
305.3358 -33.4701 0.0286 2.20 14.94
352.2592 57.1489 0.0594 1.28 15.06
313.9386 -48.7095 0.0660 1.64 14.76
230.2899 22.5659 0.0979 1.21 15.43
183.7992 2.7554 0.1614 1.74 14.68
257.6798 70.6032 0.0135 2.04 14.02
115.8095 -39.1213 0.0527 1.34 14.32
138.2853 71.1957 0.0341 0.84 15.12
187.1891 -69.0855 0.1584 1.61 14.67
41.6245 -9.3553 0.1291 0.82 14.78
306.6419 77.0389 0.1718 1.60 15.41
12.6482 83.9610 0.0367 1.32 14.64
160.8931 56.5388 0.0915 1.64 14.79
254.7114 -73.1398 0.3151 2.02 14.33
183.3502 44.9340 0.1162 1.13 14.02
254.8835 -20.3288 0.1118 0.89 15.11
327.3176 -85.6029 0.1179 1.55 14.47
294.5275 57.9208 0.1090 2.64 14.94
112.2691 30.0554 0.3262 1.07 14.83
90.4478 -22.9517 0.0792 1.00 14.22
193.7980 -89.4883 0.2568 1.32 14.40
6.4242 29.9028 0.2678 1.15 14.21
185.6138 -40.0389 0.1353 1.59 14.81
6.0510 -71.8634 0.0332 1.53 15.40
220.5478 84.6647 0.2240 1.03 15.00
238.9155 59.9674 0.1305 2.71 15.22
117.0544 32.0497 0.0435 1.09 15.01
175.4023 -42.0564 0.0460 1.44 14.77
297.9662 -36.0682 0.3407 1.51 15.01
308.1229 -76.4466 0.1223 1.76 14.22
179.8832 -10.3919 0.1275 1.25 14.77
321.8727 -31.5233 0.1821 1.27 14.70
172.8439 -81.3775 0.1882 1.44 15.15
62.6380 18.3431 0.0886 2.30 14.60
49.9303 33.5164 0.0830 1.45 14.82
329.9645 -45.2785 0.0486 2.01 14.46
65.4076 10.4987 0.4335 1.13 14.07
204.4262 -10.6481 0.2337 1.68 14.46
72.3820 9.7606 0.3577 1.60 14.64
124.7676 60.6546 0.0785 1.64 15.35
37.8046 -44.6619 0.0861 2.90 15.37
2.4983 5.1741 0.1466 1.84 14.28
149.9754 19.5741 0.0588 1.36 14.82
232.1795 -62.4727 0.0269 0.98 14.16
233.3037 -25.1104 0.1219 1.94 14.36
26.3735 60.2113 0.1155 2.01 14.34
210.6269 -69.3884 0.5353 1.28 14.99
13.0513 -10.2861 0.1138 0.83 14.12
276.8663 38.7676 0.1652 2.06 14.74
32.9360 11.7811 0.0475 1.50 14.18
237.1830 29.7239 0.0749 1.65 14.76
317.1514 75.2348 0.0109 1.03 14.52
172.8876 26.8383 0.0880 1.57 14.03
333.7840 28.3196 0.0332 1.51 14.22
13.8415 49.2834 0.2365 1.75 14.94
185.7362 89.8236 0.0227 1.14 14.85
64.1906 -56.4808 0.3355 2.28 14.45
85.6911 15.3801 0.0302 1.15 14.67
298.8548 -25.2228 0.2498 1.63 15.37
243.9621 1.6818 0.3141 1.25 14.42
290.3860 -22.9905 0.1441 1.28 14.38
271.6070 -37.4224 0.2490 1.10 14.07
14.4545 -53.7271 0.3946 1.69 14.08
209.4942 -42.7956 0.1312 1.72 14.38
56.0945 -62.0195 0.2295 1.52 14.54
324.8203 -79.3018 0.1054 1.90 14.63
197.5939 23.1467 0.1297 1.77 14.78
299.6292 -56.1880 0.0403 1.43 15.11
174.6570 56.6709 0.0838 2.11 15.37
120.1847 -3.1845 0.1575 1.46 15.05
133.8463 -5.9328 0.0498 1.94 15.36
16.2905 -43.3276 0.0866 1.39 14.73
199.3463 -50.2586 0.4348 1.38 14.61
97.3123 -34.7365 0.0170 2.20 15.35
288.8814 -55.5888 0.0768 1.12 14.57
137.4572 -14.7554 0.2376 1.28 14.38
208.8716 85.1236 0.0163 0.84 14.73
134.2311 -16.8900 0.1210 1.17 14.82
308.0264 60.3932 0.0648 1.11 14.83
76.2293 2.2642 0.1128 1.17 15.15
238.7460 -64.5915 0.0597 1.42 15.24
49.5352 75.9647 0.0120 1.29 14.12
217.6426 -63.8968 0.3377 1.98 14.03
77.5255 73.1728 0.0833 2.90 15.20
107.7368 -1.6083 0.1832 1.21 14.05
141.5988 57.9719 0.0821 2.01 14.52
321.4784 -23.4952 0.2161 1.59 14.43
259.8828 -14.8206 0.2396 1.23 14.60
328.4816 -52.5257 0.0552 1.40 15.38
130.8903 20.4724 0.1825 1.19 14.07
218.5733 0.9504 0.1922 1.26 15.47
239.4493 -39.5410 0.1580 2.73 14.67
140.4159 22.1757 0.0102 1.80 14.81
159.5116 85.5807 0.1010 1.06 14.59
80.1930 69.3518 0.2459 1.27 14.06
127.7885 38.6731 0.5803 1.65 14.04
134.6240 14.9936 0.1309 1.05 15.34
292.2726 46.4974 0.0147 1.32 14.78
283.3637 -66.9233 0.0646 1.44 14.87
25.0864 6.4762 0.4295 1.99 14.24
250.5750 7.8570 0.1600 1.64 14.12
108.0230 -49.7664 0.0852 2.73 14.76
41.1035 -54.3700 0.4883 0.71 15.35
272.8199 77.5988 0.2109 1.00 15.45
193.1771 78.4639 0.0269 1.40 14.51
242.0706 21.4277 0.0232 1.52 15.14
133.9620 27.0689 0.1599 1.13 14.71
137.1297 28.4466 0.5849 1.10 14.13
269.3351 -49.1698 0.2495 1.83 15.11
110.1139 56.5704 0.1888 1.66 14.96
176.9301 76.9778 0.2203 1.92 14.78
270.7762 6.3737 0.0267 2.22 15.35
78.9284 3.8846 0.1006 1.40 14.08
334.7297 -38.7873 0.1417 1.16 15.18
294.3633 -53.9165 0.0315 1.60 14.35
88.2303 -15.9793 0.0455 2.01 15.14
136.9885 27.5956 0.3279 1.69 14.84
215.0803 -45.8532 0.0510 0.92 14.86
315.3215 82.5048 0.0148 1.36 15.22
101.6630 -77.6609 0.1713 1.28 14.01
123.1042 -44.7317 0.0436 1.24 14.34
306.1558 -52.3957 0.1024 0.94 14.14
355.7786 -47.0921 0.0526 1.64 14.69
52.2050 -19.2450 0.3200 2.12 14.24
280.4749 -68.6428 0.1917 1.61 14.34
205.7997 -63.1422 0.0330 1.14 14.76
190.3277 -41.1841 0.1450 2.09 14.02
142.1962 17.5344 0.0218 1.21 14.18
144.5271 -15.5088 0.0530 1.45 14.04
262.8895 41.0094 0.0679 1.88 15.08
82.6368 69.8162 0.0790 1.52 15.15
115.8206 -39.5970 0.4105 1.39 15.41
342.8802 40.6786 0.2483 1.50 14.59
167.0498 49.6953 0.1473 1.45 15.10
322.3886 1.6005 0.2564 1.32 14.64
340.7495 -7.5213 0.0456 2.03 15.48
254.7925 51.1702 0.0124 1.43 14.79
71.3596 -3.0342 0.0126 1.27 15.39
228.1877 73.7974 0.0278 1.40 14.75
235.2704 25.0706 0.0286 2.04 15.11
10.4633 78.3381 0.1774 1.25 14.55
250.7073 -48.5165 0.1663 1.62 14.52
192.8737 85.6440 0.1245 1.82 14.47
237.6889 6.1486 0.3992 1.33 14.48
308.5765 -8.5259 0.1278 1.25 14.29
201.4833 -61.9433 0.0844 1.21 14.82
110.9657 -65.6502 0.0243 1.40 14.24
108.7629 -77.5931 0.1520 1.52 15.34
73.8605 -58.6981 0.0734 2.14 14.47
129.2128 -50.9785 0.0537 1.48 15.13
213.6120 49.5135 0.0185 2.00 14.13
330.0885 39.8864 0.0539 1.71 14.94
12.9070 87.9217 0.0279 1.31 14.68
79.0385 -22.3130 0.0637 1.92 14.72
61.0726 -85.8646 0.0315 1.30 14.64
40.1182 39.8205 0.1639 1.57 14.07
119.9015 30.4262 0.2611 1.60 15.19
164.3257 32.1398 0.2126 1.51 14.39
246.1308 43.3941 0.0816 1.35 15.29
133.4791 33.3065 0.0419 2.25 15.21
201.0344 -47.5248 0.1263 1.85 15.10
203.3994 -17.7676 0.3426 1.99 15.29
59.2783 83.0264 0.2029 1.09 14.82
206.4031 43.6168 0.1771 1.82 15.04
283.4566 83.5378 0.0704 1.40 14.76
87.0983 75.8114 0.0291 1.87 15.25
192.8450 50.1816 0.0281 3.12 14.82
217.5441 71.8121 0.0269 1.55 14.93
359.0638 -6.7015 0.2774 1.54 14.91
177.3672 -75.1567 0.2258 0.92 14.75
123.7970 51.5524 0.1241 2.21 15.41
131.2493 -66.9841 0.3660 1.01 15.33
149.5697 -87.2038 0.3711 1.00 15.34
23.2183 2.0441 0.2869 1.82 14.49
236.0493 76.4467 0.0263 1.04 15.49
145.7214 -89.0994 0.0598 1.92 14.14
143.9082 87.3453 0.1007 1.13 14.45
34.4290 -85.7622 0.0754 1.40 14.53
94.4068 -62.1744 0.0159 2.25 15.14
115.9485 -11.6474 0.2826 1.57 14.86
347.2553 -12.9528 0.0516 1.12 14.43
73.6696 -1.0998 0.0573 1.90 14.23
250.6538 -52.2834 0.2250 1.11 14.67
145.9519 64.0058 0.0624 2.10 14.56
51.7147 38.6454 0.2522 2.22 15.45
14.5659 15.0602 0.0187 1.51 14.97
179.4846 46.5149 0.2218 1.21 15.27
345.5363 19.6625 0.0680 1.52 14.27
9.0351 -21.2042 0.0468 1.06 14.78
88.0401 -56.0182 0.1345 2.01 14.91
299.8543 83.0782 0.0551 1.15 15.37
156.5916 9.0693 0.1549 1.36 15.33
55.3017 17.6595 0.1888 1.89 14.38
299.9141 36.0892 0.3352 1.19 14.09
55.8843 15.0892 0.0578 2.18 14.16
235.7630 58.4246 0.4030 1.27 14.52
13.5918 -29.5876 0.1260 1.48 14.63
44.9114 -35.9193 0.0692 1.11 14.01
285.1144 79.9497 0.4823 2.03 15.04
147.3926 -5.2035 0.2461 1.86 14.21
154.8319 -11.1313 0.1246 1.36 14.14
226.7362 59.4980 0.1705 1.44 14.68
307.3367 32.2567 0.2709 2.16 14.27
57.6680 67.2182 0.0522 1.70 14.32
316.6865 -84.6248 0.0192 1.65 14.69
160.5884 76.3120 0.1100 1.89 14.32
220.1471 -24.4974 0.0890 1.71 14.56
56.8489 73.4267 0.0324 1.58 15.12
101.3412 55.1106 0.0780 1.59 15.42
349.0362 -48.2701 0.1042 0.86 14.91
239.8874 -72.7894 0.1014 1.22 14.08
208.4358 -8.0009 0.1220 0.63 14.94
52.3919 -79.6698 0.1059 1.86 15.19
343.9466 55.0209 0.2645 1.26 14.12
169.0698 46.4752 0.4666 2.09 14.61
62.2695 -69.4380 0.0184 0.87 14.90
83.6570 76.2517 0.4846 1.21 14.06
324.9533 -49.4951 0.2961 1.30 14.83
108.5562 60.5134 0.4804 1.92 15.42
130.3436 -7.3006 0.1320 1.67 14.16
336.2384 -85.3839 0.1193 2.24 15.44
347.9599 -47.1647 0.0452 1.96 15.17
250.5731 -57.7465 0.0190 0.99 14.73
293.3304 -73.8169 0.2477 2.75 14.86
120.7700 37.2101 0.1742 2.41 14.13
260.9679 -71.0351 0.0338 1.88 15.05
254.8130 -11.8728 0.3310 1.45 15.12
156.4863 34.4019 0.1098 1.11 14.30
261.7155 75.9747 0.0326 0.70 14.90
274.8468 -64.0311 0.1042 0.98 14.85
119.4017 47.7518 0.0186 0.71 14.50
199.5788 16.4294 0.1377 1.64 14.82
128.5183 59.9667 0.2558 2.41 15.50
214.7211 69.7938 0.0413 1.78 14.80
247.2626 28.1445 0.1225 1.49 14.95
38.5476 -7.3456 0.0284 1.35 15.10
23.8456 7.9744 0.2360 2.21 14.55
247.1730 -49.5655 0.0530 1.39 14.39
264.3153 -77.3365 0.5248 1.99 14.49
19.1327 -71.1596 0.1267 1.48 14.00
4.9015 47.6436 0.0757 1.76 14.37
140.5522 -33.9059 0.1284 1.01 14.20
283.8056 -18.2489 0.2399 1.81 14.12
298.7374 0.7494 0.1419 1.86 14.44
339.3647 28.3616 0.3621 1.50 15.00
237.3936 22.9028 0.4450 1.89 14.68
308.4670 38.9684 0.2499 1.22 14.01
295.3615 20.4438 0.0124 1.47 14.95
128.7820 -67.7678 0.5893 1.67 14.71
342.1804 -39.5469 0.2028 2.36 14.85
317.1089 -87.2541 0.1944 1.41 14.47
163.6309 56.0476 0.0724 1.72 14.09
76.2347 59.0155 0.0118 1.53 14.63
121.9535 -41.8576 0.0970 0.85 14.58
282.9591 22.7924 0.1288 1.64 14.65
297.6211 31.3492 0.2288 1.49 14.07
189.8438 51.3174 0.0983 1.70 14.75
312.4498 62.6091 0.1061 1.57 14.33
49.2596 78.5012 0.0526 1.86 14.53
296.2787 -75.0355 0.0963 0.99 14.05
166.2526 70.8205 0.2007 0.97 15.03
76.4896 56.2182 0.2826 1.09 15.19
219.5835 -5.4185 0.0455 1.30 14.85
326.4036 10.2372 0.0883 1.48 15.32
248.0420 75.4376 0.1006 2.70 15.47
286.8678 64.3311 0.0319 1.57 15.01
225.2024 -75.0600 0.0882 1.01 15.25
177.1945 6.6305 0.0391 1.33 14.83
158.6047 60.6785 0.0133 1.75 15.35
266.4891 37.9345 0.1791 1.57 15.14
281.0181 41.6458 0.2587 1.24 14.70
175.2709 12.8265 0.1151 1.44 14.88
357.2022 -12.1209 0.0670 1.68 14.64
137.8050 38.7828 0.1348 1.47 14.23
200.2166 46.8097 0.2608 2.52 14.68
202.2190 60.6420 0.0368 1.82 14.78
222.7391 -24.0622 0.0219 1.55 14.94
70.8422 -1.5891 0.1394 2.19 15.31
182.2454 -26.7455 0.1156 2.52 14.26
271.2984 -52.1371 0.0211 1.73 14.66
181.4472 -81.4789 0.1299 1.49 15.08
269.3351 86.7495 0.1532 1.23 15.40
68.6268 -32.7669 0.0333 1.60 15.06
12.0124 73.6457 0.1651 1.42 15.47
87.2601 -14.2932 0.2016 1.80 15.18
309.3507 3.4472 0.0344 1.04 14.57
47.5905 -63.0210 0.0417 1.24 14.23
97.5197 -87.4145 0.2106 1.20 15.16
24.1833 0.6360 0.0144 1.46 15.01
190.9722 18.2171 0.0812 0.97 14.13
161.0077 -72.1541 0.2485 1.73 14.07
281.0726 -73.7819 0.0582 1.32 14.87
32.3321 53.8889 0.0196 1.70 15.07
25.5894 -15.9915 0.0729 0.88 14.30
88.2799 -64.0045 0.0957 1.13 14.90
326.1957 83.6836 0.0363 2.20 15.49
200.1818 -62.7354 0.0680 1.41 14.41
295.7651 -13.5188 0.0208 2.67 14.74
231.8539 -22.2694 0.0264 1.04 15.03
322.9032 50.6850 0.2294 1.51 14.35
175.4896 -47.4060 0.0868 1.08 14.29
287.0639 -48.9355 0.0436 1.47 15.46
199.2440 -37.2832 0.0492 0.60 15.14
103.0289 66.2703 0.1562 1.93 15.25
83.7866 -26.3921 0.3847 1.81 15.08
324.5559 6.4832 0.0986 2.23 14.79
188.0308 42.7092 0.1290 1.78 14.60
4.2373 -25.7658 0.0410 1.66 15.32
319.6348 -24.4678 0.1698 1.22 14.78
196.9827 -33.4241 0.2006 1.11 15.21
324.8132 -4.4702 0.1792 0.72 14.66
143.3025 77.1833 0.1219 2.42 14.93
192.9651 25.3103 0.1010 1.08 14.55
102.3428 -7.7909 0.0852 1.34 15.25
253.8551 -33.2070 0.1279 1.19 14.19
5.3803 74.1670 0.1799 1.98 14.32
222.1563 -4.3263 0.2200 1.46 15.19
100.5920 -56.6826 0.1575 1.29 15.10
26.2415 32.1345 0.0306 1.92 14.31
14.0236 -19.7044 0.2774 1.42 14.81
169.1506 31.3264 0.0579 1.96 15.30
204.7063 13.8825 0.0491 1.79 14.03
265.1065 86.1223 0.0500 1.36 14.52
354.3039 38.4914 0.1052 1.32 14.80
260.2314 71.1469 0.1831 1.52 15.15
2.8283 -15.9905 0.2172 1.18 14.48
140.3342 48.5162 0.1847 1.59 14.08
261.2965 26.0506 0.0661 1.16 14.69
38.0638 -15.6160 0.1818 1.64 14.51
36.7452 -49.1953 0.1224 1.47 14.91
341.0561 27.9898 0.4352 1.24 14.85
284.2403 10.8265 0.1639 1.05 14.36
329.1732 -25.9987 0.3911 1.83 14.76
176.7575 88.0129 0.0487 1.30 15.28
199.6813 -77.2185 0.2214 1.07 15.47
28.7822 21.2775 0.0219 1.61 15.37
253.8308 -5.5379 0.1764 1.60 15.24
110.7049 28.2564 0.1499 1.27 14.11
345.7022 74.3504 0.1650 2.27 14.41
326.6135 29.0183 0.2744 1.59 15.23
40.7265 17.3317 0.1024 1.75 14.84
88.9920 -30.2818 0.1742 1.39 14.91
49.7268 -34.8777 0.0502 1.71 15.21
123.7625 58.2662 0.0980 2.19 14.77
352.1952 -47.0653 0.3300 0.73 14.70
322.5150 87.1858 0.1756 2.62 14.30
114.7890 82.7523 0.0152 1.13 14.03
173.9387 1.8822 0.0160 2.78 15.43
203.4516 -63.2044 0.0944 1.74 14.53
240.3836 3.7977 0.2966 1.10 14.47
84.6830 -34.3166 0.1157 1.15 15.22
182.2941 61.6919 0.1367 2.38 14.17
262.4102 -75.3972 0.1489 0.98 14.20
319.4976 -65.6290 0.0263 1.24 14.03
44.1905 30.9124 0.2556 1.19 14.20
338.4616 79.0997 0.1036 1.72 14.01
301.3533 -2.9567 0.0124 1.36 15.29
21.6683 36.0379 0.1128 2.42 15.18
185.5603 -56.5093 0.0180 1.48 14.31
39.5246 67.2112 0.2000 1.84 15.09
152.9443 -85.2882 0.0804 1.89 14.62
177.4766 23.3097 0.0585 1.30 14.25
267.9759 24.0215 0.0230 2.35 14.91
341.5993 3.5356 0.3075 1.62 14.28
330.1436 -66.4233 0.1497 2.27 14.73
306.9258 -16.8104 0.1748 1.41 15.24
5.7369 -84.1593 0.5135 2.04 14.93
50.8671 -75.5441 0.0647 1.30 14.28
331.5914 85.4175 0.1571 1.43 14.85
212.2049 -5.6061 0.0398 1.00 15.21
140.3562 1.6385 0.0523 1.25 14.91
65.1103 -42.4796 0.2449 1.24 14.77
27.4795 -57.1050 0.1157 1.35 15.45
191.1633 25.1514 0.1227 1.52 14.01
326.8271 8.7356 0.1291 1.89 14.07
214.0299 54.9476 0.1171 1.54 14.99
3.3713 26.7722 0.0383 1.63 14.95
154.3325 51.2946 0.0100 1.60 15.32
136.7354 25.3854 0.0567 1.51 14.22
46.4971 86.3334 0.1159 1.74 14.99
243.0290 -17.4906 0.1474 1.15 15.12
158.1771 19.1052 0.0360 1.69 15.39
268.6184 22.2115 0.1865 1.03 14.14
214.1240 -76.4676 0.0640 1.77 14.40
131.3760 -51.1747 0.1124 1.44 14.81
235.0545 -4.6999 0.2642 2.32 15.25
108.3928 41.3384 0.2167 1.02 14.39
355.2060 36.5453 0.1475 0.92 15.42
175.9350 -71.6298 0.0758 2.02 15.13
260.0297 -12.0086 0.4414 1.81 14.57
64.2595 -8.6476 0.0195 1.53 14.38
279.3348 -64.8488 0.4147 2.14 14.57
56.2238 83.2405 0.1523 1.91 14.87
174.8284 59.9890 0.1869 1.14 14.95
174.5707 40.2795 0.0851 1.35 14.53
325.1014 -41.2254 0.1072 1.65 14.82
33.3080 -5.1902 0.1462 1.42 15.50
235.7675 -15.6469 0.0718 1.29 14.95
0.7416 23.6249 0.1652 2.06 14.19
174.2674 77.2993 0.0152 1.37 15.08
